機関コード	53401
機関名称（日）	福井工業高等専門学校
機関名称（英）	Fukui National College of Technology
設置種別	高等専門学校
機関規模	

機関リポジトリ名称（日）	福井県地域共同リポジトリ
機関リポジトリ名称（英）	Community Repository of Fukui
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/102.gif
機関リポジトリへのリンク（日）	http://crf.flib.u-fukui.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://crf.flib.u-fukui.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/102.gif
郵便番号	916-8507
住所	福井県鯖江市下司町
使用ソフトウェア	DSpace 1.4.2
試験公開日	2009/03/27
本公開日	2009/03/27
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	23	0	116	3	0	0	0	3	0	0	0	0	0	101	246
2010/04	23	0	116	3	0	0	0	3	0	0	0	0	0	101	246
2010/03	23	0	116	3	0	0	0	3	0	0	0	0	0	101	246
2010/02	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2010/01	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2009/12	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2009/11	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2009/10	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2009/09	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2009/08	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2009/07	23	0	116	3	0	0	0	3	0	0	0	0	0	100	245
2009/06	23	0	116	3	0	0	0	3	0	0	0	0	0	91	236
2009/05	0	0	116	0	0	0	0	0	0	0	0	0	0	91	207
2009/04	0	0	91	0	0	0	0	0	0	0	0	0	0	55	146
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
