機関コード	33401
機関名称（日）	福井工業大学
機関名称（英）	Fukui University of Technology
設置種別	私立大学
機関規模	D

機関リポジトリ名称（日）	福井県地域共同リポジトリ
機関リポジトリ名称（英）	Community Repository of Fukui
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/104.gif
機関リポジトリへのリンク（日）	http://crf.flib.u-fukui.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://crf.flib.u-fukui.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/104.gif
郵便番号	910-8505
住所	福井県福井市学園3-6-1
使用ソフトウェア	DSpace 1.4.2
試験公開日	2009/03/27
本公開日	2009/03/27
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	0	0	1523	0	0	0	0	0	0	0	0	0	0	0	1523
2009/11	0	0	1460	0	0	0	0	0	0	0	0	0	0	0	1460
2009/10	0	0	1459	0	0	0	0	0	0	0	0	0	0	0	1459
2009/09	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	1458
2009/08	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	1458
2009/07	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	1458
2009/06	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	1458
2009/05	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	1458
2009/04	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	1458
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
