機関コード	2154
機関名称（日）	城西大学
機関名称（英）	Josai University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	JURA　城西大学機関リポジトリ
機関リポジトリ名称（英）	JURA　(Josai University Repository of Academia)
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/104.gif
機関リポジトリへのリンク（日）	http://libir.josai.ac.jp/
機関リポジトリへのリンク（英）	http://libir.josai.ac.jp/infolib/meta_pub/CsvDefault.exe?DEF_XSL=eng&GRP_ID=G0000002&DB_ID=G0000002repository&IS_TYPE=csv&IS_STYLE=eng
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/104.gif
郵便番号	350-0295
住所	埼玉県坂戸市けやき台1-1
使用ソフトウェア	Infolib
試験公開日	
本公開日	2010/02/18
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	60	61	1879	11	15	0	2	55	0	0	0	0	15	1390	3488
2011/10	52	61	1879	11	15	0	2	55	0	0	0	0	15	1390	3480
2011/09	48	61	1879	11	10	0	2	55	0	0	0	0	15	1390	3471
2011/08	48	61	1879	11	10	0	2	55	0	0	0	0	15	1390	3471
2011/07	41	61	1871	11	10	0	2	55	0	0	0	0	15	1381	3447
2011/06	28	61	1865	11	10	0	2	49	0	0	0	0	15	1378	3419
2011/05	28	54	1865	11	1	0	2	49	0	0	0	0	15	1378	3403
2011/04	28	54	1858	8	1	0	2	49	0	0	0	0	15	1377	3392
2011/03	26	4	1841	8	1	0	2	49	0	0	0	0	0	1373	3304
2011/02	26	4	1782	8	1	0	2	18	0	0	0	0	0	1364	3205
2011/01	15	4	1374	8	1	0	2	12	0	0	0	0	0	1320	2736
2010/12	15	4	1374	8	1	0	2	12	0	0	0	0	0	1320	2736
2010/11	14	4	1374	8	1	0	2	12	0	0	0	0	0	1320	2735
2010/10	13	4	1358	5	1	0	0	12	0	0	0	0	0	1316	2709
2010/09	11	4	1358	5	1	0	0	12	0	0	0	0	0	1315	2706
2010/08	9	4	1355	3	1	0	0	12	0	0	0	0	0	1312	2696
2010/07	9	4	1355	3	1	0	0	12	0	0	0	0	0	1312	2696
2010/06	6	4	1349	3	1	0	0	12	0	0	0	0	0	1311	2686
2010/05	5	3	1313	3	1	0	0	10	0	0	0	0	0	1301	2636
2010/04	5	1	1313	0	1	0	0	0	0	0	0	0	0	1294	2614
2010/03	2	0	936	0	0	0	0	0	4	0	0	0	0	878	1820
2010/02	2	0	936	0	0	0	0	0	4	0	0	0	0	878	1820
2010/01	2	0	879	0	0	0	0	0	4	0	0	0	0	817	1702
2009/12	1	0	463	0	0	0	0	0	4	0	0	0	0	389	857
2009/11	1	0	463	0	0	0	0	0	4	0	0	0	0	389	857
2009/10	1	0	462	0	0	0	0	0	4	0	0	0	0	389	856
2009/09	0	0	459	0	0	0	0	0	4	0	0	0	0	383	846
2009/08	0	0	392	0	0	0	0	0	4	0	0	0	0	288	684
2009/07	0	0	145	0	0	0	0	0	4	0	0	0	0	0	149
2009/06	0	0	65	0	0	0	0	0	4	0	0	0	0	0	69
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
