機関コード	2158
機関名称（日）	文教大学
機関名称（英）	Bunkyo Univerity
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	学術情報発信システムSUCRA
機関リポジトリ名称（英）	Saitama United Cyber Repository of Academic Resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/105.gif
機関リポジトリへのリンク（日）	http://sucra.saitama-u.ac.jp/
機関リポジトリへのリンク（英）	http://sucra.saitama-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/105.gif
郵便番号	343-8511
住所	埼玉県越谷市南荻島3337
使用ソフトウェア	XooNIps
試験公開日	
本公開日	2008/11/21
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	29	0	1135	0	6	11	0	33	84	0	0	0	0	23	1321
2011/10	29	0	1014	0	6	11	0	33	76	0	0	0	0	19	1188
2011/09	29	0	995	0	6	11	0	33	66	0	0	0	0	18	1158
2011/08	29	0	995	0	6	11	0	33	66	0	0	0	0	18	1158
2011/07	29	0	995	0	6	11	0	33	66	0	0	0	0	18	1158
2011/06	29	0	979	0	6	11	0	33	12	0	0	0	0	18	1088
2011/05	27	0	969	0	6	11	0	30	8	0	0	0	0	18	1069
2011/04	13	0	956	0	6	11	0	30	5	0	0	0	0	16	1037
2011/03	11	0	925	0	6	11	0	29	4	0	0	0	0	12	998
2011/02	10	0	892	0	6	8	0	29	5	0	0	0	0	12	962
2011/01	7	0	728	0	6	7	0	29	5	0	0	0	0	9	791
2010/12	1	0	728	0	6	5	0	29	5	0	0	0	0	9	783
2010/11	0	0	722	0	6	3	0	29	5	0	0	0	0	9	774
2010/10	0	0	721	0	6	3	0	28	4	0	0	0	0	9	771
2010/09	0	0	699	0	6	3	0	28	2	0	0	0	0	6	744
2010/08	0	0	694	0	6	3	0	28	2	0	0	0	0	6	739
2010/07	0	0	691	0	6	2	0	28	2	0	0	0	0	6	735
2010/06	0	0	686	0	5	2	0	0	2	0	0	0	0	5	700
2010/05	0	0	683	0	5	2	0	0	1	0	0	0	0	4	695
2010/04	0	0	657	0	5	0	0	0	1	0	0	0	0	4	667
2010/03	0	0	637	0	5	0	0	0	1	0	0	0	0	0	643
2010/02	0	0	604	0	5	0	0	0	1	0	0	0	0	0	610
2010/01	0	0	440	0	5	0	0	0	1	0	0	0	0	0	446
2009/12	0	0	326	0	3	0	0	0	1	0	0	0	0	0	330
2009/11	0	0	258	0	3	0	0	0	1	0	0	0	0	0	262
2009/10	0	0	135	0	3	0	0	0	1	0	0	0	0	0	139
2009/09	0	0	135	0	3	0	0	0	1	0	0	0	0	0	139
2009/08	0	0	135	0	3	0	0	0	1	0	0	0	0	0	139
2009/07	0	0	134	0	3	0	0	0	1	0	0	0	0	0	138
2009/06	0	0	131	0	3	0	0	0	1	0	0	0	0	0	135
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
