機関コード	32653
機関名称（日）	東京女子医科大学
機関名称（英）	Tokyo Women’s Medical University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	東京女子医科大学学術リポジトリ Twinkle
機関リポジトリ名称（英）	Tokyo Women’s Medical University-Information & Knowledge Database
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/107.gif
機関リポジトリへのリンク（日）	http://ir.twmu.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://ir.twmu.ac.jp/dspace/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/107.gif
郵便番号	162-8666
住所	東京都新宿区河田町8-1
使用ソフトウェア	DSpace
試験公開日	2009/04/01
本公開日	2009/05/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	15089	0	0	0	4	0	0	109	0	0	337	0	0	5510	21049
2011/10	15033	0	0	0	4	0	0	109	0	0	337	0	0	5509	20992
2011/09	14998	0	0	0	4	0	0	109	0	0	337	0	0	5467	20915
2011/08	14948	0	0	0	4	0	0	109	0	0	337	0	0	5447	20845
2011/07	14948	0	0	0	4	0	0	109	0	0	337	0	0	5447	20845
2011/06	14948	0	0	0	4	0	0	109	0	0	337	0	0	5447	20845
2011/05	14933	0	0	0	4	0	0	109	0	0	337	0	0	5445	20828
2011/04	14933	0	0	0	4	0	0	109	0	0	337	0	0	5445	20828
2011/03	14933	0	0	0	4	0	0	109	0	0	337	0	0	5445	20828
2011/02	14933	0	0	0	4	0	0	109	0	0	337	0	0	5445	20828
2011/01	14862	0	0	0	4	0	0	109	71	0	337	0	0	5445	20828
2010/12	14862	0	0	0	4	0	0	109	71	0	337	0	0	5445	20828
2010/11	14767	0	0	0	4	0	0	109	71	0	337	0	0	5366	20654
2010/10	14767	0	0	0	4	0	0	109	71	0	337	0	0	5366	20654
2010/09	14766	0	0	0	4	0	0	109	71	0	337	0	0	5366	20653
2010/08	14501	0	0	0	4	0	0	109	71	0	337	0	0	5351	20373
2010/07	11168	0	0	0	4	0	0	109	71	0	337	0	0	3936	15625
2010/06	10086	0	0	0	4	0	0	108	71	0	337	0	0	2357	12963
2010/05	10083	0	0	0	3	0	0	108	71	0	337	0	0	2357	12959
2010/04	10082	0	0	0	3	0	0	108	71	0	337	0	0	2357	12958
2010/03	7030	0	0	0	3	0	0	108	71	0	337	0	0	2010	9559
2010/02	6945	0	0	0	3	0	0	87	71	0	288	0	0	2003	9397
2010/01	6618	0	0	0	3	0	0	85	71	0	288	0	0	1953	9018
2009/12	6533	0	0	0	3	0	0	85	71	0	288	0	0	1948	8928
2009/11	6531	0	0	0	0	0	0	85	71	0	288	0	0	1948	8923
2009/10	6493	0	0	0	0	0	0	85	71	0	288	0	0	1946	8883
2009/09	6493	0	0	0	0	0	0	85	71	0	239	0	0	1946	8834
2009/08	6457	0	0	0	0	0	0	85	71	0	239	0	0	1943	8795
2009/07	6417	0	0	0	0	0	0	77	71	0	239	0	0	1932	8736
2009/06	6385	0	0	0	0	0	0	75	71	0	239	0	0	358	7128
2009/05	6390	0	0	0	0	0	0	54	71	0	239	0	0	355	7109
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
