機関コード	10107
機関名称（日）	旭川医科大学
機関名称（英）	Asahikawa Medical College
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	旭川医科大学学術成果リポジトリ　AMCoR
機関リポジトリ名称（英）	Asahikawa Medical College Repository AMCoR
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/10.gif
機関リポジトリへのリンク（日）	http://amcor.asahikawa-med.ac.jp
機関リポジトリへのリンク（英）	http://amcor.asahikawa-med.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/10.gif
郵便番号	078-8510
住所	旭川市緑が丘東2条1丁目1-1
使用ソフトウェア	XooNIps
試験公開日	2007/02/15
本公開日	2007/02/28
備考（日）	本学で生産された電子的な知的生産物を保存し、原則的に無償で発信するためのインターネット上の保管庫です。<BR>CiNii連携対象
備考（英）	AMCoR　is a database of published electronic intellectual products from this college. The database is essentially free to the public. <BR>This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	1448	1	1	0	0	0	0	2	14	0	0	0	0	323	1789
2009/12	1421	1	1	0	0	0	0	2	14	0	0	0	0	323	1762
2009/11	1392	1	1	0	0	0	0	2	14	0	0	0	0	313	1723
2009/10	1376	1	1	0	0	0	0	2	14	0	0	0	0	278	1672
2009/09	1369	1	1	0	0	0	0	2	14	0	0	0	0	234	1621
2009/08	1340	1	1	0	0	0	0	0	14	0	0	0	0	212	1568
2009/07	1291	1	1	0	0	0	0	0	14	0	0	0	0	195	1502
2009/06	1251	1	1	0	0	0	0	0	14	0	0	0	0	190	1457
2009/05	1211	1	1	0	0	0	0	0	11	0	0	0	0	170	1394
2009/04	1199	1	1	0	0	0	0	0	11	0	0	0	0	84	1296
2009/03	1159	0	1	0	0	0	0	0	11	0	0	0	0	61	1232
2009/02	1114	0	1	0	0	0	0	0	11	0	0	0	0	0	1126
2009/01	1052	0	1	0	0	0	0	0	11	0	0	0	0	0	1064
2008/12	1023	0	1	0	0	0	0	0	11	0	0	0	0	0	1035
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
