機関コード	13501
機関名称（日）	山梨大学
機関名称（英）	University of Yamanashi
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	山梨大学学術リポジトリ
機関リポジトリ名称（英）	UNIVERSITY OF YAMANASHI ACADEMIC REPOSITORY
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/109.gif
機関リポジトリへのリンク（日）	http://www.lib.yamanashi.ac.jp/repository/
機関リポジトリへのリンク（英）	http://www.lib.yamanashi.ac.jp/repository/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/109.gif
郵便番号	400-8510
住所	山梨県甲府市武田四丁目4-37
使用ソフトウェア	E-Repository
試験公開日	2009/03/26
本公開日	2009/06/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	933	0	1331	0	0	0	0	0	0	0	0	0	0	0	2264
2010/04	484	0	1331	0	0	0	0	0	0	0	0	0	0	0	1815
2010/03	484	0	1331	0	0	0	0	0	0	0	0	0	0	0	1815
2010/02	484	0	1331	0	0	0	0	0	0	0	0	0	0	0	1815
2010/01	484	0	1331	0	0	0	0	0	0	0	0	0	0	0	1815
2009/12	484	0	1331	0	0	0	0	0	0	0	0	0	0	0	1815
2009/11	484	0	1331	0	0	0	0	0	0	0	0	0	0	0	1815
2009/10	484	0	1302	0	0	0	0	0	0	0	0	0	0	0	1786
2009/09	484	0	1302	0	0	0	0	0	0	0	0	0	0	0	1786
2009/08	484	0	1302	0	0	0	0	0	0	0	0	0	0	0	1786
2009/07	484	0	1302	0	0	0	0	0	0	0	0	0	0	0	1786
2009/06	484	0	1299	0	0	0	0	0	0	0	0	0	0	0	1783
2009/05	484	0	1299	0	0	0	0	0	0	0	0	0	0	0	1783
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
