機関コード	15101
機関名称（日）	鳥取大学
機関名称（英）	Tottori University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	鳥取大学研究成果リポジトリ
機関リポジトリ名称（英）	Tottori University research result repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/111.gif
機関リポジトリへのリンク（日）	http://repository.lib.tottori-u.ac.jp/Repository/Index.e
機関リポジトリへのリンク（英）	http://repository.lib.tottori-u.ac.jp/Repository/Index.e
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/111.gif
郵便番号	680-8554
住所	鳥取県鳥取市湖山町南4丁目101番地
使用ソフトウェア	
試験公開日	2008/12/26
本公開日	2009/03/31
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	1	16	1750	0	0	0	0	0	0	0	0	5	0	39	1811
2009/11	1	7	1591	0	0	0	0	0	0	0	0	5	0	39	1643
2009/10	1	7	1257	0	0	0	0	0	0	0	0	5	0	39	1309
2009/09	0	4	1013	0	0	0	0	0	0	0	0	5	0	39	1061
2009/08	0	4	967	0	0	0	0	0	0	0	0	5	0	39	1015
2009/07	0	4	933	0	0	0	0	0	0	0	0	5	0	39	981
2009/06	0	4	908	0	0	0	0	0	0	0	0	5	0	0	917
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
