機関コード	31501
機関名称（日）	東北芸術工科大学
機関名称（英）	Tohoku University of Art and Design
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	ゆうキャンパスリポジトリ
機関リポジトリ名称（英）	You Campus Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/116.gif
機関リポジトリへのリンク（日）	http://repo.lib.yamagata-u.ac.jp/
機関リポジトリへのリンク（英）	http://repo.lib.yamagata-u.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/116.gif
郵便番号	990-9530
住所	山形県山形市上桜田3-4-5
使用ソフトウェア	NALIS-R
試験公開日	2007/03/26
本公開日	2007/07/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	0	0	108	0	0	0	0	0	0	0	0	0	0	0	108
2010/04	0	0	108	0	0	0	0	0	0	0	0	0	0	0	108
2010/03	0	0	108	0	0	0	0	0	0	0	0	0	0	0	108
2010/02	0	0	108	0	0	0	0	0	0	0	0	0	0	0	108
2010/01	0	0	108	0	0	0	0	0	0	0	0	0	0	0	108
2009/12	0	0	108	0	0	0	0	0	0	0	0	0	0	0	108
2009/11	15	0	93	0	0	0	0	0	0	0	0	0	0	0	108
2009/10	0	0	93	0	0	0	0	0	0	0	0	0	0	0	93
2009/09	0	0	93	0	0	0	0	0	0	0	0	0	0	0	93
2009/08	0	0	93	0	0	0	0	0	0	0	0	0	0	0	93
2009/07	0	0	93	0	0	0	0	0	0	0	0	0	0	0	93
2009/06	0	0	93	0	0	0	0	0	0	0	0	0	0	0	93
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
