機関コード	14601
機関名称（日）	奈良教育大学
機関名称（英）	Nara University of Education
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	奈良教育大学学術リポジトリ
機関リポジトリ名称（英）	Nara University of Education Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/11.gif
機関リポジトリへのリンク（日）	http://near.nara-edu.ac.jp/
機関リポジトリへのリンク（英）	http://near.nara-edu.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/11.jpg
郵便番号	630-8528
住所	奈良県奈良市高畑町
使用ソフトウェア	NALIS-R
試験公開日	2006/12/01
本公開日	2007/03/01
備考（日）	略称：NEAR<BR>CiNii連携対象<BR>
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	54	24	1422	0	0	3	0	120	95	0	4	0	0	1	1723
2010/04	54	24	1346	0	0	3	0	120	95	0	4	0	0	1	1647
2010/03	54	21	1212	0	0	3	0	119	94	0	3	0	0	1	1507
2010/02	54	12	1027	0	0	3	0	119	93	0	3	0	0	1	1312
2010/01	54	12	778	0	0	3	0	119	93	0	3	0	0	1	1063
2009/12	53	12	708	0	0	3	0	119	90	0	3	0	0	1	989
2009/11	53	12	587	0	0	3	0	119	90	0	3	0	0	1	868
2009/10	53	12	458	0	0	3	0	119	89	0	3	0	0	1	738
2009/09	53	12	458	0	0	2	0	118	88	0	3	0	0	1	735
2009/08	53	12	458	0	0	2	0	116	88	0	3	0	0	1	733
2009/07	53	12	457	0	0	2	0	116	87	0	3	0	0	1	731
2009/06	53	12	456	0	0	2	0	116	87	0	3	0	0	1	730
2009/05	53	12	441	0	0	2	0	116	87	0	3	0	0	1	715
2009/04	52	10	429	0	0	2	0	116	87	0	3	0	0	1	700
2009/03	51	5	401	0	0	2	0	116	86	0	3	0	0	1	665
2009/02	50	0	401	0	0	0	0	116	85	0	3	0	0	1	656
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
