機関コード	沖縄農業研究会
機関名称（日）	沖縄農業研究会
機関名称（英）	Okinawa Agriculture Research Society
設置種別	その他
機関規模	

機関リポジトリ名称（日）	沖縄地域学リポジトリ
機関リポジトリ名称（英）	ORION : Okinawa Repository Integrated Open-Access Network
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/119.jpg
機関リポジトリへのリンク（日）	http://okinawa-repo.lib.u-ryukyu.ac.jp
機関リポジトリへのリンク（英）	http://okinawa-repo.lib.u-ryukyu.ac.jp/index.jsp?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/119.jpg
郵便番号	903-0214
住所	沖縄県中頭郡西原町字千原1番地
使用ソフトウェア	NALIS-R
試験公開日	2009/02/06
本公開日	
備考（日）	沖縄地域学リポジトリでは、会誌「沖縄農業」の創刊からの全ての掲載論文（最新刊を除く）を公開しています。<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	556	0	0	0	0	0	0	0	0	0	0	0	0	113	669
2010/04	556	0	0	0	0	0	0	0	0	0	0	0	0	113	669
2010/03	556	0	0	0	0	0	0	0	0	0	0	0	0	113	669
2010/02	556	0	0	0	0	0	0	0	0	0	0	0	0	113	669
2010/01	556	0	0	0	0	0	0	0	0	0	0	0	0	113	669
2009/12	556	0	0	0	0	0	0	0	0	0	0	0	0	113	669
2009/11	548	0	0	0	0	0	0	0	0	0	0	0	0	112	660
2009/10	548	0	0	0	0	0	0	0	0	0	0	0	0	112	660
2009/09	548	0	0	0	0	0	0	0	0	0	0	0	0	112	660
2009/08	548	0	0	0	0	0	0	0	0	0	0	0	0	112	660
2009/07	548	0	0	0	0	0	0	0	0	0	0	0	0	112	660
2009/06	548	0	0	0	0	0	0	0	0	0	0	0	0	112	660
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
