機関コード	35314
機関名称（日）	環太平洋大学
機関名称（英）	International Pacific University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	環太平洋大学研究成果リポジトリ
機関リポジトリ名称（英）	Open-access Collection and Electronic Archives for academic Navigator
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/121.gif
機関リポジトリへのリンク（日）	http://repository.ipu-japan.ac.jp/
機関リポジトリへのリンク（英）	http://repository.ipu-japan.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/121.gif
郵便番号	709-0863
住所	岡山県岡山市東区瀬戸町観音寺721番地
使用ソフトウェア	Eprints
試験公開日	2009/01/05
本公開日	2009/04/01
備考（日）	環太平洋大学研究成果リポジトリは、環太平洋大学の研究成果を保存・公開しています。<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29
2009/12	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29
2009/11	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29
2009/10	0	0	16	0	0	0	0	0	0	0	0	0	0	0	16
2009/09	0	0	16	0	0	0	0	0	0	0	0	0	0	0	16
2009/08	0	0	16	0	0	0	0	0	0	0	0	0	0	0	16
2009/07	0	0	16	0	0	0	0	0	0	0	0	0	0	0	16
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
