機関コード	55301
機関名称（日）	津山工業高等専門学校
機関名称（英）	Tsuyama National College of  Technology
設置種別	高等専門学校
機関規模	

機関リポジトリ名称（日）	津山工業高等専門学校学術成果リポジトリ
機関リポジトリ名称（英）	TNCT-Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/122.gif
機関リポジトリへのリンク（日）	http://repository.tsuyama-ct.ac.jp/
機関リポジトリへのリンク（英）	http://repository.tsuyama-ct.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/122.gif
郵便番号	708-8509
住所	岡山県津山市沼624-1
使用ソフトウェア	Eprints
試験公開日	2009/01/15
本公開日	2009/04/01
備考（日）	津山高専学術成果リポジトリは、津山工業高等専門学校の研究成果を保存・公開しています。<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	0	0	44	0	0	0	0	0	0	0	0	0	0	2	46
2009/11	0	0	44	0	0	0	0	0	0	0	0	0	0	2	46
2009/10	0	0	44	0	0	0	0	0	0	0	0	0	0	2	46
2009/09	0	0	44	0	0	0	0	0	0	0	0	0	0	2	46
2009/08	0	0	41	0	0	0	0	0	0	0	0	0	0	2	43
2009/07	0	0	20	0	0	0	0	0	0	0	0	0	0	1	21
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
