機関コード	35313
機関名称（日）	中国学園大学
機関名称（英）	Chugoku Gakuen University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	中国学園リポジトリ
機関リポジトリ名称（英）	Chugoku gakuen Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/122.gif
機関リポジトリへのリンク（日）	http://cur-ren.cjc.ac.jp/
機関リポジトリへのリンク（英）	http://cur-ren.cjc.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/122.gif
郵便番号	701-0197
住所	岡山県岡山市北区庭瀬83番地
使用ソフトウェア	Eprints
試験公開日	2009/04/01
本公開日	2009/05/01
備考（日）	中国学園リポジトリは、中国学園大学／中国短期大学の研究成果を保存・公開しています。<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	0	0	644	0	0	0	0	0	0	0	0	0	0	11	655
2010/04	0	0	644	0	0	0	0	0	0	0	0	0	0	11	655
2010/03	0	0	644	0	0	0	0	0	0	0	0	0	0	11	655
2010/02	0	0	276	0	0	0	0	0	0	0	0	0	0	4	280
2010/01	0	0	37	0	0	0	0	0	0	0	0	0	0	1	38
2009/12	0	0	37	0	0	0	0	0	0	0	0	0	0	1	38
2009/11	0	0	37	0	0	0	0	0	0	0	0	0	0	1	38
2009/10	0	0	37	0	0	0	0	0	0	0	0	0	0	1	38
2009/09	0	0	37	0	0	0	0	0	0	0	0	0	0	1	38
2009/08	0	0	37	0	0	0	0	0	0	0	0	0	0	1	38
2009/07	0	0	37	0	0	0	0	0	0	0	0	0	0	1	38
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
