機関コード	34603
機関名称（日）	奈良大学
機関名称（英）	Nara University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	奈良大学リポジトリ
機関リポジトリ名称（英）	Nara University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/124.gif
機関リポジトリへのリンク（日）	http://repo.nara-u.ac.jp
機関リポジトリへのリンク（英）	http://repo.nara-u.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/124.gif
郵便番号	631-8502
住所	奈良市山陵町１５００
使用ソフトウェア	XooNIps
試験公開日	2009/06/01
本公開日	
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	311	0	1175	0	0	0	0	0	0	0	0	0	0	471	1957
2011/10	311	0	935	0	0	0	0	0	0	0	0	0	0	345	1591
2011/09	311	0	642	0	0	0	0	0	0	0	0	0	0	218	1171
2011/08	311	0	636	0	0	0	0	0	0	0	0	0	0	216	1163
2011/07	311	0	636	0	0	0	0	0	0	0	0	0	0	216	1163
2011/06	311	0	638	0	0	0	0	0	0	0	0	0	0	216	1165
2011/05	311	0	638	0	0	0	0	0	0	0	0	0	0	216	1165
2011/04	317	0	643	0	0	0	0	0	0	0	0	0	0	216	1176
2011/03	317	0	639	0	0	0	0	0	0	0	0	0	0	216	1172
2011/02	316	0	634	0	0	0	0	0	0	0	0	0	0	216	1166
2011/01	279	0	637	0	0	0	0	0	0	0	0	0	0	197	1113
2010/12	149	0	591	0	0	0	0	0	0	0	0	0	0	139	879
2010/11	0	0	402	0	0	0	0	0	0	0	0	0	0	62	464
2010/10	0	0	104	0	0	0	0	0	0	0	0	0	0	22	126
2010/09	0	0	90	0	0	0	0	0	0	0	0	0	0	21	111
2010/08	0	0	90	0	0	0	0	0	0	0	0	0	0	21	111
2010/07	0	0	90	0	0	0	0	0	0	0	0	0	0	21	111
2010/06	0	0	90	0	0	0	0	0	0	0	0	0	0	21	111
2010/05	0	0	90	0	0	0	0	0	0	0	0	0	0	21	111
2010/04	0	0	90	0	0	0	0	0	0	0	0	0	0	21	111
2010/03	0	0	84	0	0	0	0	0	0	0	0	0	0	15	99
2010/02	0	0	84	0	0	0	0	0	0	0	0	0	0	15	99
2010/01	0	0	84	0	0	0	0	0	0	0	0	0	0	15	99
2009/12	0	0	84	0	0	0	0	0	0	0	0	0	0	15	99
2009/11	0	0	37	0	0	0	0	0	0	0	0	0	0	7	44
2009/10	0	0	18	0	0	0	0	0	0	0	0	0	0	4	22
2009/09	0	0	10	0	0	0	0	0	0	0	0	0	0	3	13
2009/08	0	0	7	0	0	0	0	0	0	0	0	0	0	2	9
2009/07	0	0	7	0	0	0	0	0	0	0	0	0	0	2	9
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
