機関コード	37502
機関名称（日）	別府大学
機関名称（英）	Beppu University
設置種別	私立大学
機関規模	C

［リポジトリ 1］
機関リポジトリ名称（日）	別府大学機関リポジトリ
機関リポジトリ名称（英）	Beppu University Information Library for Documentation
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/125.gif
機関リポジトリへのリンク（日）	http://repo.beppu-u.ac.jp
機関リポジトリへのリンク（英）	http://repo.beppu-u.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/125.gif
郵便番号	874-8501
住所	大分県別府市北石垣82
使用ソフトウェア	XooNIps
試験公開日	2008/08/01
本公開日	2009/06/17
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

［リポジトリ 2］
機関リポジトリ名称（日）	別府大学(地域連携プログラム)
機関リポジトリ名称（英）	Beppu University and Oita Regional Society Co-Operation
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/140.gif
機関リポジトリへのリンク（日）	http://bud.beppu-u.ac.jp
機関リポジトリへのリンク（英）	http://bud.beppu-u.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/140.gif
郵便番号	874-8501
住所	大分県別府市北石垣82
使用ソフトウェア	XooNIps
試験公開日	2010/01/05
本公開日	2010/01/06
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	111	0	989	1	2	82	0	16	2243	0	0	0	0	1469	4913
2011/10	102	1	989	1	2	76	0	16	2189	0	0	0	0	1438	4814
2011/09	102	1	969	1	2	76	0	16	2150	0	0	0	0	1425	4742
2011/08	102	0	916	1	2	76	0	16	2136	0	0	0	0	1400	4649
2011/07	102	0	916	1	2	76	0	16	2125	0	0	0	0	1392	4630
2011/06	102	0	897	1	2	76	0	16	2124	0	0	0	0	1389	4607
2011/05	102	0	891	1	2	76	0	16	2124	0	0	0	0	1385	4597
2011/04	102	0	872	1	2	76	0	16	2123	0	0	0	0	1372	4564
2011/03	102	0	849	1	2	76	0	16	2118	0	0	0	0	1366	4530
2011/02	102	0	803	1	2	76	0	16	1490	0	0	0	0	1102	3592
2011/01	102	0	803	0	2	76	0	16	1331	0	0	0	0	997	3327
2010/12	102	0	778	0	2	76	0	16	1299	0	0	0	0	982	3255
2010/11	102	0	774	0	2	76	0	16	906	0	0	0	0	851	2727
2010/10	102	0	763	0	2	76	0	16	613	0	0	0	0	652	2224
2010/09	102	0	605	0	2	1	0	16	553	0	0	0	0	525	1804
2010/08	102	0	596	0	2	1	0	16	553	0	0	0	0	525	1795
2010/07	110	0	594	0	2	1	0	16	555	0	0	0	0	526	1804
2010/06	110	0	586	0	1	1	0	16	554	0	0	0	0	522	1790
2010/05	109	0	546	0	0	0	0	16	495	0	0	0	0	494	1660
2010/04	109	0	546	0	0	0	0	16	486	0	0	0	0	471	1628
2010/03	109	0	546	0	0	0	0	16	486	0	0	0	0	471	1628
2010/02	109	0	482	0	0	0	0	16	489	0	0	0	0	459	1555
2010/01	109	0	481	0	0	0	0	16	489	0	0	0	0	459	1554
2009/12	109	0	418	0	0	0	0	16	167	0	0	0	0	428	1138
2009/11	109	0	418	0	0	0	0	16	167	0	0	0	0	428	1138
2009/10	109	0	418	0	0	0	0	16	167	0	0	0	0	428	1138
2009/09	109	0	418	0	0	0	0	16	167	0	0	0	0	428	1138
2009/08	109	0	418	0	0	0	0	16	167	0	0	0	0	428	1138
2009/07	109	0	418	0	0	0	0	16	155	0	0	0	0	427	1125
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
