機関コード	33111
機関名称（日）	新潟医療福祉大学
機関名称（英）	Niigata University of Health and Welfare
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	新潟県地域共同リポジトリ
機関リポジトリ名称（英）	Niigata Regional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/127.gif
機関リポジトリへのリンク（日）	http://nirr.lib.niigata-u.ac.jp
機関リポジトリへのリンク（英）	http://nirr.lib.niigata-u.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/127.gif
郵便番号	950-3198
住所	新潟県新潟市北区島見町1398
使用ソフトウェア	NALIS-R
試験公開日	2009/04/23
本公開日	2009/07/08
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	543	0	0	0	1	0	0	0	0	0	0	0	0	0	544
2011/10	474	0	0	0	1	0	0	0	0	0	0	0	0	0	475
2011/09	474	0	0	0	1	0	0	0	0	0	0	0	0	0	475
2011/08	474	0	0	0	1	0	0	0	0	0	0	0	0	0	475
2011/07	474	0	0	0	1	0	0	0	0	0	0	0	0	0	475
2011/06	474	0	0	0	1	0	0	0	0	0	0	0	0	0	475
2011/05	474	0	0	0	1	0	0	0	0	0	0	0	0	0	475
2011/04	367	0	0	0	1	0	0	0	0	0	0	0	0	0	368
2011/03	367	0	0	0	1	0	0	0	0	0	0	0	0	0	368
2011/02	367	0	0	0	1	0	0	0	0	0	0	0	0	0	368
2011/01	250	0	0	0	1	0	0	0	0	0	0	0	0	0	251
2010/12	250	0	0	0	1	0	0	0	0	0	0	0	0	0	251
2010/11	250	0	0	0	1	0	0	0	0	0	0	0	0	0	251
2010/10	249	0	0	0	1	0	0	0	0	0	0	0	0	0	250
2010/09	249	0	0	0	1	0	0	0	0	0	0	0	0	0	250
2010/08	249	0	0	0	1	0	0	0	0	0	0	0	0	0	250
2010/07	249	0	0	0	1	0	0	0	0	0	0	0	0	0	250
2010/06	249	0	0	0	1	0	0	0	0	0	0	0	0	0	250
2010/05	202	0	0	0	1	0	0	0	0	0	0	0	0	0	203
2010/04	202	0	0	0	1	0	0	0	0	0	0	0	0	0	203
2010/03	202	0	0	0	1	0	0	0	0	0	0	0	0	0	203
2010/02	0	0	202	0	1	0	0	0	0	0	0	0	0	0	203
2010/01	0	0	202	0	1	0	0	0	0	0	0	0	0	0	203
2009/12	0	0	202	0	1	0	0	0	0	0	0	0	0	0	203
2009/11	0	0	202	0	0	0	0	0	0	0	0	0	0	0	202
2009/10	0	0	202	0	0	0	0	0	0	0	0	0	0	0	202
2009/09	0	0	202	0	0	0	0	0	0	0	0	0	0	0	202
2009/08	0	0	202	0	0	0	0	0	0	0	0	0	0	0	202
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
