機関コード	33109,43103
機関名称（日）	新潟青陵大学,新潟青陵大学短期大学部
機関名称（英）	Niigata　Seiryo University,Niigata Seiryo University Junior College
設置種別	私立大学,短期大学
機関規模	,

機関リポジトリ名称（日）	新潟県地域共同リポジトリ
機関リポジトリ名称（英）	Niigata Regional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/128.gif
機関リポジトリへのリンク（日）	http://nirr.lib.niigata-u.ac.jp
機関リポジトリへのリンク（英）	http://nirr.lib.niigata-u.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/128.gif
郵便番号	951-8121
住所	新潟県新潟市中央区水道町1-5939
使用ソフトウェア	NALIS-R
試験公開日	2009/04/23
本公開日	2009/07/08
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	15	0	314	0	1	0	0	0	0	0	0	0	0	0	330
2011/10	15	0	314	0	1	0	0	0	0	0	0	0	0	0	330
2011/09	15	0	314	0	1	0	0	0	0	0	0	0	0	0	330
2011/08	15	0	314	0	1	0	0	0	0	0	0	0	0	0	330
2011/07	15	0	314	0	1	0	0	0	0	0	0	0	0	0	330
2011/06	15	0	314	0	1	0	0	0	0	0	0	0	0	0	330
2011/05	15	0	314	0	1	0	0	0	0	0	0	0	0	0	330
2011/04	11	0	314	0	1	0	0	0	0	0	0	0	0	0	326
2011/03	11	0	314	0	1	0	0	0	0	0	0	0	0	0	326
2011/02	11	0	314	0	1	0	0	0	0	0	0	0	0	0	326
2011/01	11	0	314	0	1	0	0	0	0	0	0	0	0	0	326
2010/12	5	0	314	0	1	0	0	0	0	0	0	0	0	0	320
2010/11	5	0	289	0	1	0	0	0	0	0	0	0	0	0	295
2010/10	3	0	275	0	1	0	0	0	0	0	0	0	0	0	279
2010/09	3	0	275	0	1	0	0	0	0	0	0	0	0	0	279
2010/08	3	0	275	0	1	0	0	0	0	0	0	0	0	0	279
2010/07	3	0	251	0	1	0	0	0	0	0	0	0	0	0	255
2010/06	3	0	251	0	1	0	0	0	0	0	0	0	0	0	255
2010/05	0	0	251	0	1	0	0	0	0	0	0	0	0	0	252
2010/04	0	0	251	0	1	0	0	0	0	0	0	0	0	0	252
2010/03	0	0	251	0	1	0	0	0	0	0	0	0	0	0	252
2010/02	0	0	211	0	1	0	0	0	0	0	0	0	0	0	212
2010/01	0	0	211	0	1	0	0	0	0	0	0	0	0	0	212
2009/12	0	0	211	0	1	0	0	0	0	0	0	0	0	0	212
2009/11	0	0	144	0	0	0	0	0	0	0	0	0	0	0	144
2009/10	0	0	98	0	0	0	0	0	0	0	0	0	0	0	98
2009/09	0	0	98	0	0	0	0	0	0	0	0	0	0	0	98
2009/08	0	0	98	0	0	0	0	0	0	0	0	0	0	0	98
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
