機関コード	11101
機関名称（日）	弘前大学
機関名称（英）	Hirosaki University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	弘前大学学術情報リポジトリ
機関リポジトリ名称（英）	Hirosaki University Repository for Academic Resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/12.jpg
機関リポジトリへのリンク（日）	http://repository.ul.hirosaki-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://repository.ul.hirosaki-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/12.gif
郵便番号	036-8560
住所	青森県弘前市文京町1
使用ソフトウェア	DSpace
試験公開日	2007/03/14
本公開日	2008/05/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	878	60	1353	11	1	98	0	93	110	0	8	0	0	196	2808
2010/04	868	56	1280	11	1	95	0	93	109	0	8	0	0	186	2707
2010/03	786	56	1247	11	1	95	0	93	107	0	8	0	0	172	2576
2010/02	547	54	1230	11	1	95	0	93	107	0	8	0	0	115	2261
2010/01	263	54	1212	11	1	93	0	76	90	0	8	0	0	37	1845
2009/12	261	54	1205	11	1	93	0	76	75	0	8	0	0	33	1817
2009/11	253	54	1165	11	1	91	0	75	71	0	8	0	0	29	1758
2009/10	251	54	1156	10	1	91	0	71	69	0	8	0	0	29	1740
2009/09	248	53	1155	10	1	91	0	71	65	0	8	0	0	29	1731
2009/08	201	53	1111	9	1	84	0	70	50	0	7	0	0	21	1607
2009/07	195	53	1101	9	1	77	0	66	48	0	7	0	0	21	1578
2009/06	188	53	1100	8	1	47	0	62	44	0	7	0	0	21	1531
2009/05	152	54	1082	5	1	7	0	62	35	0	7	0	0	14	1419
2009/04	141	25	1082	4	1	7	0	62	34	0	7	0	0	14	1377
2009/03	28	24	1058	2	1	5	0	60	10	0	7	0	0	11	1206
2009/02	24	23	1058	2	1	4	0	60	8	0	7	0	0	11	1198
2009/01	9	23	828	2	1	1	0	51	6	0	7	0	0	11	939
2008/12	9	23	680	2	1	1	0	50	6	0	7	0	0	11	790
2008/11	9	23	454	2	0	1	0	50	6	0	7	0	0	11	563
2008/10	9	22	430	2	0	1	0	50	6	0	7	0	0	11	538
2008/09	9	22	426	2	0	1	0	47	6	0	7	0	0	11	531
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
