機関コード	24403
機関名称（日）	大阪府立大学
機関名称（英）	Osaka Prefecture University
設置種別	公立大学
機関規模	A

機関リポジトリ名称（日）	大阪府立大学学術情報リポジトリ
機関リポジトリ名称（英）	Osaka Prefecture University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/129.gif
機関リポジトリへのリンク（日）	http://repository.osakafu-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://repository.osakafu-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/129.jpg
郵便番号	599-8531
住所	大阪府堺市中区学園町１－１
使用ソフトウェア	DSpace
試験公開日	2009/02/28
本公開日	2009/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	15	85	5766	0	2	44	0	2	0	0	0	0	0	1632	7546
2011/10	15	80	5766	0	2	44	0	2	0	0	0	0	0	1629	7538
2011/09	15	80	5737	0	2	44	0	2	0	0	0	0	0	1625	7505
2011/08	15	81	5619	0	2	44	0	2	0	0	0	0	0	1559	7322
2011/07	15	78	5617	0	2	44	0	2	0	0	0	0	0	1559	7317
2011/06	13	79	5596	0	2	44	0	1	0	0	0	0	0	1556	7291
2011/05	13	60	5592	0	2	44	0	0	0	0	0	0	0	1554	7265
2011/04	13	59	5585	0	2	44	0	0	0	0	0	0	0	1552	7255
2011/03	13	57	5577	0	2	44	0	0	0	0	0	0	0	1001	6694
2011/02	12	56	5541	0	2	44	0	0	0	0	0	0	0	913	6568
2011/01	12	55	5473	0	2	44	0	0	0	0	0	0	0	704	6290
2010/12	7	50	5467	0	2	44	0	0	0	0	0	0	0	1288	6858
2010/11	7	50	5467	0	2	44	0	0	0	0	0	0	0	1333	6903
2010/10	7	50	5467	0	2	44	0	0	0	0	0	0	0	1332	6902
2010/09	7	50	5457	0	2	44	0	0	0	0	0	0	0	1320	6880
2010/08	7	48	5121	0	2	43	0	0	0	0	0	0	0	1231	6452
2010/07	7	14	4924	0	1	0	0	0	0	0	0	0	0	1206	6152
2010/06	6	14	4579	0	1	0	0	0	0	0	0	0	0	453	5053
2010/05	6	14	4427	0	1	0	0	0	0	0	0	0	0	398	4846
2010/04	6	15	3580	0	1	0	0	0	0	0	0	0	0	317	3919
2010/03	5	11	2797	0	1	0	0	0	0	0	0	0	0	20	2834
2010/02	0	0	2798	0	1	0	0	0	0	0	0	0	0	20	2819
2010/01	0	0	2777	0	1	0	0	0	0	0	0	0	0	20	2798
2009/12	0	0	2777	0	1	0	0	0	0	0	0	0	0	19	2797
2009/11	0	0	2777	0	1	0	0	0	0	0	0	0	0	11	2789
2009/10	0	0	2777	0	1	0	0	0	0	0	0	0	0	10	2788
2009/09	0	0	2777	0	1	0	0	0	0	0	0	0	0	0	2778
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
