機関コード	32601
機関名称（日）	青山学院大学
機関名称（英）	Aoyama Gakuin University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	青山学院大学・女子短期大学機関リポジトリ AURORA-IR
機関リポジトリ名称（英）	Aoyama Gakuin University & Women’s Junior College Institutional Repository AURORA-IR
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/131.gif
機関リポジトリへのリンク（日）	http://www.agulin.aoyama.ac.jp/repo/
機関リポジトリへのリンク（英）	http://www.agulin.aoyama.ac.jp/repo/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/131.gif
郵便番号	150-8366
住所	東京都渋谷区渋谷4－4－25
使用ソフトウェア	E-Repository
試験公開日	
本公開日	2009/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	12	1330	0	0	0	0	0	0	0	0	0	0	417	1759
2011/10	0	0	1330	0	0	0	0	0	0	0	0	0	0	414	1744
2011/09	0	0	1294	0	0	0	0	0	0	0	0	0	0	405	1699
2011/08	0	0	1281	0	0	0	0	0	0	0	0	0	0	402	1683
2011/07	0	0	1268	0	0	0	0	0	0	0	0	0	0	396	1664
2011/06	0	0	1268	0	0	0	0	0	0	0	0	0	0	396	1664
2011/05	0	0	1255	0	0	0	0	0	0	0	0	0	0	394	1649
2011/04	0	0	1185	0	0	0	0	0	0	0	0	0	0	382	1567
2011/03	0	0	1184	0	0	0	0	0	0	0	0	0	0	381	1565
2011/02	0	0	1166	0	0	0	0	0	0	0	0	0	0	377	1543
2011/01	0	0	1128	0	0	0	0	0	0	0	0	0	0	365	1493
2010/12	0	0	1110	0	0	0	0	0	0	0	0	0	0	362	1472
2010/11	0	0	1108	0	0	0	0	0	0	0	0	0	0	362	1470
2010/10	0	0	1096	0	0	0	0	0	0	0	0	0	0	362	1458
2010/09	0	0	1059	0	0	0	0	0	0	0	0	0	0	352	1411
2010/08	0	0	1059	0	0	0	0	0	0	0	0	0	0	352	1411
2010/07	0	0	1057	0	0	0	0	0	0	0	0	0	0	352	1409
2010/06	0	0	1002	0	0	0	0	0	0	0	0	0	0	343	1345
2010/05	0	0	980	0	0	0	0	0	0	0	0	0	0	338	1318
2010/04	0	0	963	0	0	0	0	0	0	0	0	0	0	328	1291
2010/03	0	0	935	0	0	0	0	0	0	0	0	0	0	320	1255
2010/02	0	0	924	0	0	0	0	0	0	0	0	0	0	314	1238
2010/01	0	0	924	0	0	0	0	0	0	0	0	0	0	314	1238
2009/12	0	0	924	0	0	0	0	0	0	0	0	0	0	314	1238
2009/11	0	0	924	0	0	0	0	0	0	0	0	0	0	314	1238
2009/10	0	0	924	0	0	0	0	0	0	0	0	0	0	314	1238
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
