機関コード	64401
機関名称（日）	国立民族学博物館
機関名称（英）	National Museum of Ethnology
設置種別	大学共同利用機関
機関規模	

機関リポジトリ名称（日）	みんぱくリポジトリ
機関リポジトリ名称（英）	MINPAKU Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/134.gif
機関リポジトリへのリンク（日）	http://ir.minpaku.ac.jp/
機関リポジトリへのリンク（英）	http://ir.minpaku.ac.jp/dspace/index.jsp?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/134.jpg
郵便番号	565-8511
住所	大阪府吹田市千里万博公園10番1号
使用ソフトウェア	DSpace
試験公開日	2009/03/23
本公開日	2010/01/12
備考（日）	目次に掲載されていても論文が表示されないものは、著者の利用許諾待ちのため、本リポジトリでは非公開となっているものです。<BR>CiNii連携対象
備考（英）	Some items on contents are currently unavailable until author permissions are obtained.<BR>This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	17	0	3193	3	0	69	0	3	3	0	0	0	0	172	3460
2011/10	17	0	3193	3	0	69	0	3	3	0	0	0	0	172	3460
2011/09	16	0	3193	3	0	69	0	3	3	0	0	0	0	172	3459
2011/08	16	0	3193	3	0	69	0	3	3	0	0	0	0	172	3459
2011/07	16	0	3193	3	0	69	0	3	3	0	0	0	0	172	3459
2011/06	16	0	3182	3	0	69	0	3	3	0	0	0	0	171	3447
2011/05	16	0	3156	3	0	69	0	3	3	0	0	0	0	169	3419
2011/04	16	0	3155	3	0	69	0	3	3	0	0	0	0	168	3417
2011/03	5	0	3156	0	0	7	0	0	0	0	0	0	0	168	3336
2011/02	5	0	3156	0	0	7	0	0	0	0	0	0	0	168	3336
2011/01	5	0	3096	0	0	3	0	0	0	0	0	0	0	165	3269
2010/12	5	0	3096	0	0	3	0	0	0	0	0	0	0	165	3269
2010/11	5	0	3096	0	0	3	0	0	0	0	0	0	0	165	3269
2010/10	5	0	3096	0	0	3	0	0	0	0	0	0	0	165	3269
2010/09	5	0	3096	0	0	3	0	0	0	0	0	0	0	165	3269
2010/08	5	0	3096	0	0	3	0	0	0	0	0	0	0	165	3269
2010/07	5	0	3096	0	0	3	0	0	0	0	0	0	0	164	3268
2010/06	0	0	3067	0	0	1	0	0	0	0	0	0	0	156	3224
2010/05	0	0	3067	0	0	1	0	0	0	0	0	0	0	156	3224
2010/04	0	0	3067	0	0	1	0	0	0	0	0	0	0	156	3224
2010/03	0	0	3068	0	0	1	0	0	0	0	0	0	0	156	3225
2010/02	0	0	2400	0	0	1	0	0	0	0	0	0	0	139	2540
2010/01	0	0	1649	0	0	1	0	0	0	0	0	0	0	139	1789
2009/12	0	0	1650	0	0	1	0	0	0	0	0	0	0	139	1790
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
