機関コード	24601
機関名称（日）	奈良県立医科大学
機関名称（英）	Nara Medical University
設置種別	公立大学
機関規模	D

機関リポジトリ名称（日）	奈良県立医科大学機関リポジトリ GINMU
機関リポジトリ名称（英）	GINMU :Global Institutional repository of Nara Medical University
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/135.gif
機関リポジトリへのリンク（日）	http://ginmu.naramed-u.ac.jp/
機関リポジトリへのリンク（英）	http://ginmu.naramed-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/135.gif
郵便番号	634-8523
住所	奈良県橿原市四条町840
使用ソフトウェア	DSpace
試験公開日	2008/08/27
本公開日	2009/11/02
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	55	1	809	0	0	0	0	0	0	0	0	0	0	612	1477
2011/10	55	1	770	0	0	0	0	0	0	0	0	0	0	608	1434
2011/09	55	1	749	0	0	0	0	0	0	0	0	0	0	607	1412
2011/08	54	0	719	0	0	0	0	0	0	0	0	0	0	591	1364
2011/07	54	0	717	0	0	0	0	0	0	0	0	0	0	590	1361
2011/06	54	0	717	0	0	0	0	0	0	0	0	0	0	590	1361
2011/05	54	0	717	0	0	0	0	0	0	0	0	0	0	590	1361
2011/04	54	0	717	0	0	0	0	0	0	0	0	0	0	575	1346
2011/03	54	0	700	0	0	0	0	0	0	0	0	0	0	557	1311
2011/02	54	0	700	0	0	0	0	0	0	0	0	0	0	459	1213
2011/01	54	0	700	0	0	0	0	0	0	0	0	0	0	387	1141
2010/12	54	0	687	0	0	0	0	0	0	0	0	0	0	316	1057
2010/11	54	0	686	0	0	0	0	0	0	0	0	0	0	316	1056
2010/10	54	0	686	0	0	0	0	0	0	0	0	0	0	316	1056
2010/09	54	0	686	0	0	0	0	0	0	0	0	0	0	316	1056
2010/08	54	0	659	0	0	0	0	0	0	0	0	0	0	293	1006
2010/07	54	0	659	0	0	0	0	0	0	0	0	0	0	293	1006
2010/06	54	0	659	0	0	0	0	0	0	0	0	0	0	293	1006
2010/05	54	0	653	0	0	0	0	0	0	0	0	0	0	288	995
2010/04	54	0	653	0	0	0	0	0	0	0	0	0	0	288	995
2010/03	53	0	653	0	0	0	0	0	0	0	0	0	0	217	923
2010/02	47	74	482	0	0	0	0	87	2	0	0	0	0	72	764
2010/01	1	377	104	6	0	0	0	88	7	0	0	0	0	66	649
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
