機関コード	17301
機関名称（日）	長崎大学
機関名称（英）	Nagasaki University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	長崎大学学術研究成果リポジトリ
機関リポジトリ名称（英）	Nagasaki University’s Academic Output SITE
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/13.jpg
機関リポジトリへのリンク（日）	http://naosite.lb.nagasaki-u.ac.jp/
機関リポジトリへのリンク（英）	http://naosite.lb.nagasaki-u.ac.jp/dspace/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/13.jpg
郵便番号	852-8521
住所	長崎県長崎市文教町1-14
使用ソフトウェア	DSpace
試験公開日	2006/04/28
本公開日	2007/02/07
備考（日）	長崎大学で生産された学術研究成果を電子的に登録・保存し、広く世界中の研究者に発信します。<BR>CiNii連携対象
備考（英）	Nagasaki University’s Institutional Repository.<BR>This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	2915	690	5629	177	84	338	0	22	12	1	33	0	0	6849	16750
2009/11	2774	690	5629	175	82	338	0	22	6	1	32	0	0	6841	16590
2009/10	2610	689	5601	173	81	337	0	22	6	1	32	0	0	6840	16392
2009/09	2539	689	5584	172	77	337	0	22	6	1	32	0	0	6840	16299
2009/08	2502	680	5546	169	77	337	0	22	6	1	32	0	0	6839	16211
2009/07	2487	673	5530	168	77	337	0	22	6	1	32	0	0	6839	16172
2009/06	2472	672	5515	165	71	337	0	22	6	0	32	0	0	6838	16130
2009/05	2418	672	5505	163	70	336	0	22	6	0	32	0	0	6838	16062
2009/04	2347	672	5438	162	70	336	0	22	6	0	31	0	0	6835	15919
2009/03	2081	664	5315	155	70	336	0	22	6	0	31	0	0	6835	15515
2009/02	1730	664	5293	116	70	335	0	22	6	0	31	0	0	6834	15101
2009/01	1674	661	5293	116	69	335	0	22	5	0	31	0	0	6834	15040
2008/12	1649	661	5293	114	68	335	0	22	5	0	31	0	0	6834	15012
2008/11	1596	609	5288	105	68	335	0	22	5	0	31	0	0	6834	14893
2008/10	1103	570	5288	41	105	335	0	22	5	0	29	0	0	6834	14332
2008/09	1059	570	5278	40	105	335	0	22	5	0	27	0	0	6834	14275
2008/08	1032	568	5278	30	103	335	0	18	5	0	27	0	0	6834	14230
2008/07	611	568	5243	30	102	335	0	18	5	0	24	0	0	6834	13770
2008/06	564	555	5238	29	102	335	0	18	5	0	24	0	0	6508	13378
2008/05	535	523	4602	27	91	335	0	18	5	0	24	0	0	5814	11974
2008/04	518	522	4594	27	91	323	0	18	5	0	23	0	0	5813	11934
2008/03	248	522	4336	18	82	323	0	18	5	0	21	0	0	5813	11386
2008/02	222	511	3003	11	79	323	0	5	5	0	20	0	0	5813	9992
2008/01	222	510	2932	11	10	323	0	1	5	0	19	0	0	813	4846
2007/12	222	507	2672	11	9	323	0	1	5	0	15	0	0	813	4578
2007/11	216	504	2666	11	8	323	0	1	5	0	15	0	0	813	4562
2007/10	126	462	2525	9	8	306	0	1	17	0	10	0	0	4	3468
2007/09	118	385	2516	9	8	306	0	1	4	0	7	0	0	3	3357
2007/08	121	384	2517	9	8	304	0	1	1	0	7	0	0	7	3359
2007/07	119	380	2516	9	8	304	0	1	1	0	5	0	0	7	3350
2007/06	116	379	2515	9	6	304	0	0	0	0	5	0	0	6	3340
2007/05	111	377	2514	9	6	304	0	0	0	0	5	0	0	5	3331
2007/04	111	305	2504	9	6	304	0	0	0	0	5	0	0	4	3248
