機関コード	32401
機関名称（日）	跡見学園女子大学
機関名称（英）	Atomi　University
設置種別	私立大学
機関規模	

機関リポジトリ名称（日）	学術情報発信システムSUCRA
機関リポジトリ名称（英）	Saitama United Cyber Repository of Academic Resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/141.gif
機関リポジトリへのリンク（日）	http://sucra.saitama-u.ac.jp/
機関リポジトリへのリンク（英）	http://sucra.saitama-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/141.gif
郵便番号	352-8501
住所	埼玉県新座市中野1-9-6
使用ソフトウェア	XooNIps
試験公開日	
本公開日	2009/11/24
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	0	1078	0	0	16	0	0	0	0	0	0	0	773	1867
2011/10	0	0	1078	0	0	16	0	0	0	0	0	0	0	773	1867
2011/09	0	0	1078	0	0	16	0	0	0	0	0	0	0	773	1867
2011/08	0	0	1078	0	0	16	0	0	0	0	0	0	0	773	1867
2011/07	0	0	1078	0	0	16	0	0	0	0	0	0	0	773	1867
2011/06	0	0	1078	0	0	16	0	0	0	0	0	0	0	773	1867
2011/05	0	0	1076	0	0	16	0	0	0	0	0	0	0	772	1864
2011/04	0	0	1076	0	0	16	0	0	0	0	0	0	0	772	1864
2011/03	0	0	1076	0	0	16	0	0	0	0	0	0	0	772	1864
2011/02	0	0	1076	0	0	16	0	0	0	0	0	0	0	772	1864
2011/01	0	0	894	0	0	16	0	0	0	0	0	0	0	772	1682
2010/12	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/11	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/10	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/09	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/08	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/07	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/06	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/05	0	0	880	0	0	16	0	0	0	0	0	0	0	758	1654
2010/04	0	0	858	0	0	16	0	0	0	0	0	0	0	741	1615
2010/03	0	0	797	0	0	16	0	0	0	0	0	0	0	714	1527
2010/02	0	0	726	0	0	16	0	0	0	0	0	0	0	658	1400
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
