機関コード	13103
機関名称（日）	上越教育大学
機関名称（英）	Joetsu University of Education
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	上越教育大学リポジトリ
機関リポジトリ名称（英）	Joetsu University of Education Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/148.gif
機関リポジトリへのリンク（日）	http://repository.lib.juen.ac.jp/
機関リポジトリへのリンク（英）	http://repository.lib.juen.ac.jp/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/148.gif
郵便番号	943-8512
住所	新潟県上越市山屋敷町1番地
使用ソフトウェア	DSpace
試験公開日	2009/10/07
本公開日	
備考（日）	本公開を2010年4月に予定<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	93	10	1030	0	1	0	0	19	36	0	0	0	0	3	1192
2011/10	93	10	1030	0	1	0	0	19	36	0	0	0	0	3	1192
2011/09	93	10	1030	0	1	0	0	19	36	0	0	0	0	3	1192
2011/08	92	10	1026	0	1	0	0	19	36	0	0	0	0	3	1187
2011/07	89	10	1016	0	1	0	0	18	36	0	0	0	0	3	1173
2011/06	79	10	986	0	1	0	0	9	36	0	0	0	0	1	1122
2011/05	79	7	941	0	1	0	0	9	36	0	0	0	0	1	1074
2011/04	79	7	910	0	1	0	0	9	36	0	0	0	0	1	1043
2011/03	79	6	766	0	0	0	0	9	27	0	0	0	0	1	888
2011/02	79	1	749	0	0	0	0	9	26	0	0	0	0	1	865
2011/01	77	0	693	0	0	0	0	9	26	0	0	0	0	1	806
2010/12	72	0	693	0	0	0	0	9	26	0	0	0	0	1	801
2010/11	60	0	620	0	0	0	0	7	26	0	0	0	0	1	714
2010/10	56	0	580	0	0	0	0	7	26	0	0	0	0	1	670
2010/09	56	0	567	0	0	0	0	0	0	0	0	0	0	1	624
2010/08	56	0	485	0	0	0	0	0	0	0	0	0	0	0	541
2010/07	53	0	468	0	0	0	0	0	0	0	0	0	0	0	521
2010/06	53	0	468	0	0	0	0	0	0	0	0	0	0	0	521
2010/05	53	0	468	0	0	0	0	0	0	0	0	0	0	0	521
2010/04	53	0	468	0	0	0	0	0	0	0	0	0	0	0	521
2010/03	53	0	446	0	0	0	0	0	0	0	0	0	0	0	499
2010/02	51	0	418	0	0	0	0	0	0	0	0	0	0	0	469
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
