機関コード	12301
機関名称（日）	群馬大学
機関名称（英）	Gunma University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	群馬大学学術情報リポジトリGAIR
機関リポジトリ名称（英）	GAIR:Gunma University Academic Information Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/14.gif
機関リポジトリへのリンク（日）	https://gair.media.gunma-u.ac.jp
機関リポジトリへのリンク（英）	https://gair.media.gunma-u.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/14.gif
郵便番号	371-8510
住所	群馬県前橋市荒牧町4-2
使用ソフトウェア	DSpace
試験公開日	2007/03/01
本公開日	2007/11/20
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	721	31	1238	3	4	32	0	0	1315	0	2	0	0	452	3798
2009/11	721	30	1238	3	2	32	0	0	1253	0	2	0	0	452	3733
2009/10	719	30	1238	3	2	32	0	0	1152	0	2	0	0	452	3630
2009/09	718	28	1238	3	2	32	0	0	1152	0	2	0	0	452	3627
2009/08	703	8	1238	3	2	32	0	0	1150	0	2	0	0	452	3590
2009/07	703	8	1238	3	2	32	0	0	1150	0	2	0	0	452	3590
2009/06	703	8	1238	3	2	32	0	0	1150	0	2	0	0	452	3590
2009/05	690	8	1238	3	2	32	0	0	1150	0	2	0	0	452	3577
2009/04	672	8	1165	3	2	32	0	0	1150	0	2	0	0	452	3486
2009/03	672	8	1165	3	2	32	0	0	1150	0	2	0	0	452	3486
2009/02	672	8	1165	3	2	32	0	0	1150	0	2	0	0	452	3486
2009/01	672	8	1165	3	2	32	0	0	1109	0	2	0	0	452	3445
2008/12	643	8	1165	3	2	32	0	0	940	0	2	0	0	452	3247
2008/11	635	8	1165	3	2	32	0	0	632	0	2	0	0	452	2931
2008/10	618	8	1165	3	2	32	0	0	377	0	2	0	0	452	2659
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
