機関コード	24402
機関名称（日）	大阪市立大学
機関名称（英）	Osaka City University Repository
設置種別	公立大学
機関規模	A

機関リポジトリ名称（日）	大阪市立大学学術機関リポジトリ
機関リポジトリ名称（英）	Osaka City University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/150.gif
機関リポジトリへのリンク（日）	http://dlisv03.media.osaka-cu.ac.jp/infolib/meta_pub/G0000007repository
機関リポジトリへのリンク（英）	http://dlisv03.media.osaka-cu.ac.jp/infolib/meta_pub/G0000007repository_en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/150.gif
郵便番号	558-8585
住所	大阪市住吉区杉本3-3-138
使用ソフトウェア	InfoLib-DBR
試験公開日	2010/02/27
本公開日	2010/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	28	79	1501	0	3	0	15	10	0	0	299	0	0	0	1935
2011/10	26	77	1490	0	3	0	15	10	0	0	299	0	0	0	1920
2011/09	26	77	1473	0	3	0	15	10	0	0	299	0	0	0	1903
2011/08	26	77	1467	0	3	0	15	10	0	0	299	0	0	0	1897
2011/07	25	77	1462	0	3	0	15	10	0	0	281	0	0	0	1873
2011/06	20	77	1429	0	2	0	15	10	0	0	281	0	0	0	1834
2011/05	20	77	956	0	2	0	15	10	0	0	281	0	0	0	1361
2011/04	20	77	956	0	2	0	13	9	0	0	281	0	0	0	1358
2011/03	15	15	937	0	2	0	13	9	0	0	281	0	0	0	1272
2011/02	12	0	937	0	2	0	13	9	0	0	281	0	0	0	1254
2011/01	12	0	930	0	2	0	13	9	0	0	281	0	0	0	1247
2010/12	12	0	337	0	2	0	13	8	0	0	0	0	0	0	372
2010/11	0	0	251	0	2	0	13	8	0	0	0	0	0	0	274
2010/10	0	0	251	0	2	0	13	8	0	0	0	0	0	0	274
2010/09	0	0	251	0	2	0	12	8	0	0	0	0	0	0	273
2010/08	0	0	251	0	2	0	7	8	0	0	0	0	0	0	268
2010/07	0	0	135	0	0	0	0	0	0	0	0	0	0	0	135
2010/06	0	0	135	0	0	0	0	0	0	0	0	0	0	0	135
2010/05	0	0	135	0	0	0	0	0	0	0	0	0	0	0	135
2010/04	0	0	135	0	0	0	0	0	0	0	0	0	0	0	135
2010/03	0	0	135	0	0	0	0	0	0	0	0	0	0	0	135
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
