機関コード	12103
機関名称（日）	筑波技術大学
機関名称（英）	National University Corporation Tsukuba University of Technology
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	筑波技術大学機関リポジトリ
機関リポジトリ名称（英）	NTUT Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/151.gif
機関リポジトリへのリンク（日）	http://www.tsukuba-tech.ac.jp/repo/
機関リポジトリへのリンク（英）	http://www.tsukuba-tech.ac.jp/repo/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/151.jpg
郵便番号	305-8520
住所	茨城県つくば市天久保4-3-15
使用ソフトウェア	DSpace
試験公開日	2009/02/27
本公開日	2009/08/24
備考（日）	聴覚障害及び視覚障害学生のみを受け入れている本学の特色を生かした、障害者支援のための研究に関するコンテンツ収集を特色としています。<BR>CiNii連携対象<BR><BR>
備考（英）	This IR cooperates with CiNii.

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	91	1	709	1	13	0	0	53	14	0	6	0	0	0	888
2011/10	82	1	709	1	13	0	0	53	14	0	6	0	0	0	879
2011/09	73	1	709	1	13	0	0	50	14	0	6	0	0	0	867
2011/08	27	1	709	1	13	0	0	47	13	0	6	0	0	0	817
2011/07	20	1	709	1	11	0	0	47	13	0	6	0	0	0	808
2011/06	20	1	709	1	11	0	0	41	13	0	6	0	0	0	802
2011/05	20	1	709	1	3	0	0	29	13	0	0	0	0	0	776
2011/04	20	1	709	1	3	0	0	27	12	0	0	0	0	0	773
2011/03	20	1	0	1	3	0	0	736	12	0	0	0	0	0	773
2011/02	20	1	0	0	3	0	0	714	12	0	0	0	0	0	750
2011/01	19	1	0	0	3	0	0	714	12	0	0	0	0	0	749
2010/12	15	1	0	0	3	0	0	714	12	0	0	0	0	0	745
2010/11	8	0	0	0	2	0	0	692	0	0	0	0	0	0	702
2010/10	0	0	0	0	2	0	0	692	0	0	0	0	0	0	694
2010/09	0	0	0	0	2	0	0	691	0	0	0	0	0	0	693
2010/08	0	0	0	0	2	0	0	691	0	0	0	0	0	0	693
2010/07	0	0	0	0	2	0	0	690	0	0	0	0	0	0	692
2010/06	0	0	0	0	2	0	0	690	0	0	0	0	0	0	692
2010/05	0	0	0	0	2	0	0	690	0	0	0	0	0	0	692
2010/04	0	0	0	0	2	0	0	690	0	0	0	0	0	0	692
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
