機関コード	16101
機関名称（日）	徳島大学
機関名称（英）	University of Tokushima
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	徳島大学機関リポジトリ
機関リポジトリ名称（英）	Tokushima University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/304.gif
機関リポジトリへのリンク（日）	http://www.lib.tokushima-u.ac.jp/repository/
機関リポジトリへのリンク（英）	http://www.lib.tokushima-u.ac.jp/repository/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/304.gif
郵便番号	770-8507
住所	徳島県徳島市南常三島町2-1
使用ソフトウェア	Earmas
試験公開日	2010/01/24
本公開日	2010/05/11
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	55	2	865	0	0	0	0	0	42	0	0	0	0	4	968
2011/10	0	1	865	0	0	0	0	0	42	0	0	0	0	4	912
2011/09	0	1	789	0	0	0	0	0	0	0	0	0	0	3	793
2011/08	0	0	779	0	0	0	0	0	0	0	0	0	0	2	781
2011/07	0	0	778	0	0	0	0	0	0	0	0	0	0	2	780
2011/06	0	0	778	0	0	0	0	0	0	0	0	0	0	2	780
2011/05	0	0	775	0	0	0	0	0	0	0	0	0	0	2	777
2011/04	0	0	739	0	0	0	0	0	0	0	0	0	0	2	741
2011/03	0	0	650	0	0	0	0	0	0	0	0	0	0	2	652
2011/02	0	0	564	0	0	0	0	0	0	0	0	0	0	2	566
2011/01	0	0	564	0	0	0	0	0	0	0	0	0	0	2	566
2010/12	0	0	564	0	0	0	0	0	0	0	0	0	0	2	566
2010/11	0	0	548	0	0	0	0	0	0	0	0	0	0	2	550
2010/10	0	0	548	0	0	0	0	0	0	0	0	0	0	2	550
2010/09	0	0	548	0	0	0	0	0	0	0	0	0	0	2	550
2010/08	0	0	548	0	0	0	0	0	0	0	0	0	0	2	550
2010/07	0	0	548	0	0	0	0	0	0	0	0	0	0	2	550
2010/06	0	0	548	0	0	0	0	0	0	0	0	0	0	2	550
2010/05	0	0	548	0	0	0	0	0	0	0	0	0	0	2	550
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
