機関コード	34316
機関名称（日）	龍谷大学
機関名称（英）	Ryukoku University
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	龍谷大学学術機関リポジトリ　Ｒ－ＳＨＩＰ
機関リポジトリ名称（英）	Ryukoku University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/306.gif
機関リポジトリへのリンク（日）	http://repo.lib.ryukoku.ac.jp/jspui/
機関リポジトリへのリンク（英）	http://repo.lib.ryukoku.ac.jp/jspui/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/306.gif
郵便番号	612-8577
住所	京都市伏見区深草塚本町６７
使用ソフトウェア	DSpace
試験公開日	2010/05/27
本公開日	2010/06/01
備考（日）	最初のコンテンツは博士学位論文、順次研究紀要を公開予定<BR>2010年度の紀要論文の登録完了（2011/3/31)<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii.

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	42	903	0	0	0	0	0	0	0	0	0	0	103	1048
2011/10	0	42	903	0	0	0	0	0	0	0	0	0	0	103	1048
2011/09	0	42	767	0	0	0	0	0	0	0	0	0	0	86	895
2011/08	0	41	760	0	0	0	0	0	0	0	0	0	0	85	886
2011/07	0	41	577	0	0	0	0	0	0	0	0	0	0	66	684
2011/06	0	41	556	0	0	0	0	0	0	0	0	0	0	63	660
2011/05	0	41	556	0	0	0	0	0	0	0	0	0	0	63	660
2011/04	0	41	556	0	0	0	0	0	0	0	0	0	0	63	660
2011/03	0	41	324	0	0	0	0	0	0	0	0	0	0	35	400
2011/02	0	41	324	0	0	0	0	0	0	0	0	0	0	35	400
2011/01	0	41	324	0	0	0	0	0	0	0	0	0	0	35	400
2010/12	0	40	152	0	0	0	0	0	0	0	0	0	0	18	210
2010/11	0	40	0	0	0	0	0	0	0	0	0	0	0	0	40
2010/10	0	40	0	0	0	0	0	0	0	0	0	0	0	0	40
2010/09	0	40	0	0	0	0	0	0	0	0	0	0	0	0	40
2010/08	0	39	0	0	0	0	0	0	0	0	0	0	0	0	39
2010/07	0	38	0	0	0	0	0	0	0	0	0	0	0	0	38
2010/06	0	34	0	0	0	0	0	0	0	0	0	0	0	0	34
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
