機関コード	21601
機関名称（日）	福島県立医科大学
機関名称（英）	Fukushima Medical University
設置種別	公立大学
機関規模	C

機関リポジトリ名称（日）	福島県立医科大学学術成果リポジトリ
機関リポジトリ名称（英）	Fukushima Medical University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/308.gif
機関リポジトリへのリンク（日）	http://ir.fmu.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://ir.fmu.ac.jp/dspace/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/308.gif
郵便番号	960-1297
住所	福島県福島市光が丘１番地
使用ソフトウェア	DSpace
試験公開日	
本公開日	2010/06/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	116	0	63	0	1	0	0	0	9	0	0	0	0	64	253
2011/10	116	0	63	0	1	0	0	0	9	0	0	0	0	64	253
2011/09	116	0	63	0	1	0	0	0	9	0	0	0	0	64	253
2011/08	116	0	63	0	1	0	0	0	9	0	0	0	0	64	253
2011/07	116	0	63	0	1	0	0	0	9	0	0	0	0	64	253
2011/06	91	0	63	0	1	0	0	0	9	0	0	0	0	64	228
2011/05	91	0	57	0	1	0	0	0	8	0	0	0	0	60	217
2011/04	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2011/03	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2011/02	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2011/01	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2010/12	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2010/11	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2010/10	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2010/09	17	0	57	0	1	0	0	0	8	0	0	0	0	32	115
2010/08	16	0	57	0	1	0	0	0	8	0	0	0	0	32	114
2010/07	16	0	57	0	1	0	0	0	8	0	0	0	0	32	114
2010/06	16	0	57	0	0	0	0	0	8	0	0	0	0	32	113
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
