機関コード	33910
機関名称（日）	中部大学
機関名称（英）	Chubu University
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	中部大学学術情報リポジトリ
機関リポジトリ名称（英）	Chubu University Digital Archives
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/310.gif
機関リポジトリへのリンク（日）	http://ir.bliss.chubu.ac.jp/
機関リポジトリへのリンク（英）	http://ir.bliss.chubu.ac.jp/eng/index.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/310.jpg
郵便番号	487-8501
住所	愛知県春日井市松本町1200
使用ソフトウェア	iLisSurf e-lib
試験公開日	2010/02/22
本公開日	2010/09/13
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	1	2	1538	0	0	0	0	11	0	0	0	0	0	73	1625
2011/10	1	2	1538	0	0	0	0	11	0	0	0	0	0	73	1625
2011/09	1	2	1538	0	0	0	0	11	0	0	0	0	0	73	1625
2011/08	1	2	1538	0	0	0	0	11	0	0	0	0	0	73	1625
2011/07	1	2	1538	0	0	0	0	11	0	0	0	0	0	71	1623
2011/06	1	2	1538	0	0	0	0	11	0	0	0	0	0	71	1623
2011/05	1	2	1538	0	0	0	0	11	0	0	0	0	0	71	1623
2011/04	1	2	744	0	0	0	0	11	0	0	0	0	0	50	808
2011/03	1	2	744	0	0	0	0	11	0	0	0	0	0	50	808
2011/02	1	2	744	0	0	0	0	11	0	0	0	0	0	50	808
2011/01	1	2	415	0	0	0	0	11	0	0	0	0	0	43	472
2010/12	1	2	389	0	0	0	0	11	0	0	0	0	0	43	446
2010/11	1	2	307	0	0	0	0	11	0	0	0	0	0	27	348
2010/10	1	0	307	0	0	0	0	11	0	0	0	0	0	27	346
2010/09	0	0	307	0	0	0	0	11	0	0	0	0	0	27	345
2010/08	0	0	282	0	0	0	0	0	0	0	0	0	0	26	308
2010/07	0	0	282	0	0	0	0	0	0	0	0	0	0	26	308
2010/06	0	0	282	0	0	0	0	0	0	0	0	0	0	26	308
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
