機関コード	82706
機関名称（日）	海洋研究開発機構
機関名称（英）	Japan Agency for Marine-Earth Science and Technology
設置種別	その他
機関規模	

機関リポジトリ名称（日）	JAMSTEC機関リポジトリ
機関リポジトリ名称（英）	JAMSTEC Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/312.gif
機関リポジトリへのリンク（日）	http://www.jamstec.go.jp/jir/
機関リポジトリへのリンク（英）	http://www.jamstec.go.jp/jir/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/312.gif
郵便番号	236-0001
住所	神奈川県横浜市金沢区昭和町3173番25
使用ソフトウェア	Infolib-DBR
試験公開日	2009/06/29
本公開日	2010/03/29
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	131	0	1561	0	8	1	1791	0	844	0	0	0	0	9	4345
2011/10	131	0	1561	0	8	1	1780	0	838	0	0	0	0	9	4328
2011/09	131	0	1561	0	8	1	1780	0	838	0	0	0	0	9	4328
2011/08	131	0	1561	0	8	1	1774	0	838	0	0	0	0	9	4322
2011/07	132	0	1561	0	14	1	1768	0	830	0	0	0	0	9	4315
2011/06	132	0	1561	0	14	1	1756	0	830	0	0	0	0	9	4303
2011/05	131	0	1561	0	14	1	1743	0	830	0	0	0	0	9	4289
2011/04	124	0	1561	0	14	1	1733	0	830	0	0	0	0	9	4272
2011/03	124	0	1561	0	14	1	1725	0	814	0	0	0	0	9	4248
2011/02	124	0	1561	0	14	1	1725	0	814	0	0	0	0	9	4248
2011/01	124	0	1561	0	14	1	1712	0	814	0	0	0	0	9	4235
2010/12	119	0	1561	0	14	1	1671	0	781	0	0	0	0	9	4156
2010/11	119	0	1561	0	14	1	1645	0	772	0	0	0	0	10	4122
2010/10	119	0	1561	0	14	1	1025	0	214	0	0	0	0	10	2944
2010/09	119	0	1561	0	14	1	1025	0	214	0	0	0	0	10	2944
2010/08	119	0	650	0	14	1	1014	0	214	0	0	0	0	10	2022
2010/07	119	0	650	0	14	1	1014	0	214	0	0	0	0	10	2022
2010/06	119	0	650	0	14	1	1014	0	214	0	0	0	0	10	2022
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
