機関コード	21102
機関名称（日）	青森県立保健大学
機関名称（英）	Aomori University of Health and Welfare
設置種別	公立大学
機関規模	D

機関リポジトリ名称（日）	青森県立保健大学リポジトリ
機関リポジトリ名称（英）	Aomori University of Health and Welfare Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/314.gif
機関リポジトリへのリンク（日）	http://a-plus.auhw.ac.jp/
機関リポジトリへのリンク（英）	http://a-plus.auhw.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/314.gif
郵便番号	030-8505
住所	青森県青森市大字浜館字間瀬58-1
使用ソフトウェア	XooNIps
試験公開日	2010/04/30
本公開日	2010/06/15
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	7	1	473	0	0	19	0	4	0	0	0	0	0	153	657
2011/10	7	1	473	0	0	19	0	4	0	0	0	0	0	153	657
2011/09	7	1	473	0	0	19	0	4	0	0	0	0	0	153	657
2011/08	7	1	473	0	0	19	0	4	0	0	0	0	0	153	657
2011/07	7	1	473	0	0	19	0	4	0	0	0	0	0	153	657
2011/06	7	1	473	0	0	18	0	3	0	0	0	0	0	153	655
2011/05	7	1	473	0	0	18	0	3	0	0	0	0	0	153	655
2011/04	7	1	455	0	0	18	0	3	0	0	0	0	0	145	629
2011/03	7	1	454	0	0	18	0	3	0	0	0	0	0	140	623
2011/02	7	0	454	0	0	15	0	3	0	0	0	0	0	140	619
2011/01	7	0	454	0	0	15	0	3	0	0	0	0	0	140	619
2010/12	7	0	454	0	0	13	0	3	0	0	0	0	0	140	617
2010/11	7	0	454	0	0	11	0	3	0	0	0	0	0	140	615
2010/10	1	0	455	0	0	7	0	3	0	0	0	0	0	140	606
2010/09	1	0	455	0	0	3	0	1	0	0	0	0	0	141	601
2010/08	1	0	455	0	0	2	0	1	0	0	0	0	0	140	599
2010/07	1	0	455	0	0	2	0	1	0	0	0	0	0	140	599
2010/06	1	0	455	0	0	2	0	0	0	0	0	0	0	140	598
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
