機関コード	150201
機関名称（日）	島根大学
機関名称（英）	Shimane University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	島根大学学術情報リポジトリ
機関リポジトリ名称（英）	Shimane University Web Archives of Knowledge
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/15.gif
機関リポジトリへのリンク（日）	http://sir.lib.shimane-u.ac.jp/
機関リポジトリへのリンク（英）	http://sir.lib.shimane-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/15.gif
郵便番号	690-8504
住所	島根県松江市西川津町1060
使用ソフトウェア	E-Repository
試験公開日	2007/03/02
本公開日	2007/04/02
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	19	2	4417	20	5	2	0	1	1	0	0	0	0	1	4468
2009/12	19	2	4417	20	5	2	0	1	1	0	0	0	0	1	4468
2009/11	19	2	4393	20	5	2	0	1	1	0	0	0	0	1	4444
2009/10	19	2	4390	20	5	2	0	1	1	0	0	0	0	1	4441
2009/09	19	2	4390	20	5	2	0	1	1	0	0	0	0	1	4441
2009/08	19	2	4386	20	5	2	0	1	1	0	0	0	0	1	4437
2009/07	19	2	4377	20	5	2	0	1	1	0	0	0	0	1	4428
2009/06	18	2	4377	19	5	2	0	1	1	0	0	0	0	1	4426
2009/05	18	2	4365	19	5	1	0	1	1	0	0	0	0	1	4413
2009/04	18	2	4341	19	5	1	0	0	1	0	0	0	0	0	4387
2009/03	18	2	4293	19	5	1	0	0	1	0	0	0	0	0	4339
2009/02	18	2	4293	19	5	1	0	0	1	0	0	0	0	0	4339
2009/01	18	2	4273	19	5	1	0	0	1	0	0	0	0	0	4319
2008/12	18	2	4262	19	5	1	0	0	1	0	0	0	0	0	4308
2008/11	18	1	4262	19	5	1	0	0	1	0	0	0	0	0	4307
2008/10	18	1	4262	19	5	1	0	0	1	0	0	0	0	0	4307
2008/09	18	1	4262	19	5	1	0	0	1	0	0	0	0	0	4307
2008/08	18	1	4262	19	5	1	0	0	1	0	0	0	0	0	4307
2008/07	18	1	4262	19	4	1	0	0	1	0	0	0	0	0	4306
2008/06	18	1	4262	19	4	1	0	0	1	0	0	0	0	0	4306
2008/05	16	1	4252	19	4	1	0	0	1	0	0	0	0	0	4294
2008/04	16	1	4232	19	4	1	0	0	1	0	0	0	0	0	4274
2008/03	16	1	4182	19	4	1	0	0	1	0	0	0	0	0	4224
2008/02	16	1	4182	19	4	1	0	0	1	0	0	0	0	0	4224
2008/01	16	1	4141	19	3	1	0	0	0	0	0	0	0	0	4181
2007/12	16	1	4141	19	3	1	0	0	0	0	0	0	0	0	4181
2007/11	12	1	4137	19	2	1	0	0	0	0	0	0	0	0	4172
2007/10	12	1	4086	19	2	1	0	0	0	0	0	0	0	0	4121
2007/09	12	1	4086	19	2	1	0	0	0	0	0	0	0	0	4121
2007/08	12	1	4086	16	2	1	0	0	0	0	0	0	0	0	4118
2007/07	0	0	4086	1	1	1	0	0	0	0	0	0	0	0	4089
2007/06	0	0	4086	0	0	1	0	0	0	0	0	0	0	0	4087
2007/05	0	0	3916	0	0	1	0	0	0	0	0	0	0	0	3917
2007/04	0	0	3757	0	0	0	0	0	0	0	0	0	0	0	3757
