機関コード	35307,45302
機関名称（日）	就実大学,就実短期大学
機関名称（英）	Shujitsu University,Shujitsu Junior College
設置種別	私立大学,短期大学
機関規模	C,

機関リポジトリ名称（日）	就実学術成果リポジトリ
機関リポジトリ名称（英）	Shujitsu Digital Information Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/318.gif
機関リポジトリへのリンク（日）	http://repository.shujitsu.ac.jp/
機関リポジトリへのリンク（英）	http://repository.shujitsu.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/318.gif
郵便番号	703-8516
住所	岡山市中区西川原1-6-1
使用ソフトウェア	EPrints
試験公開日	
本公開日	2010/07/30
備考（日）	就実学術成果リポジトリは、就実大学／就実短期大学の研究成果を保存・公開しています。CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/10	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/09	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/08	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/07	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/06	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/05	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/04	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20
2011/03	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2011/02	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2011/01	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2010/12	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2010/11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2010/10	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2010/09	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2010/08	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11
2010/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
