機関コード	34416
機関名称（日）	関西大学
機関名称（英）	Kansai University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	関西大学学術リポジトリ
機関リポジトリ名称（英）	Kansai University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/320.gif
機関リポジトリへのリンク（日）	http://kuir.jm.kansai-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://kuir.jm.kansai-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/320.gif
郵便番号	564-8680
住所	大阪府吹田市山手町3丁目3番35号
使用ソフトウェア	DSpace
試験公開日	2007/03/30
本公開日	2008/04/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	299	1	1211	93	11	68	1	48	1784	2	0	0	0	919	4437
2011/10	210	1	1185	85	11	51	1	48	1785	2	0	0	0	856	4235
2011/09	182	1	1067	85	11	51	1	48	1785	2	0	0	0	841	4074
2011/08	162	0	929	84	11	50	1	48	1786	2	0	0	0	808	3881
2011/07	116	0	806	82	11	48	1	48	1783	2	0	0	0	787	3684
2011/06	112	0	685	82	11	43	1	48	1744	2	0	0	0	769	3497
2011/05	108	0	665	75	11	43	1	48	1734	2	0	0	0	766	3453
2011/04	106	0	663	75	6	43	1	48	1676	2	0	0	0	763	3383
2011/03	1	0	180	0	6	43	1	42	1536	2	0	0	0	734	2545
2011/02	1	0	113	0	6	42	1	32	1343	2	0	0	0	681	2221
2011/01	0	0	0	0	6	39	1	0	1355	2	0	0	0	624	2027
2010/12	0	0	0	0	6	39	1	0	1347	2	0	0	0	619	2014
2010/11	0	0	0	0	6	39	1	0	1329	2	0	0	0	566	1943
2010/10	0	0	0	0	6	38	1	0	1273	1	0	0	0	544	1863
2010/09	0	0	0	0	6	38	1	0	1214	1	0	0	0	532	1792
2010/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
