機関コード	32621
機関名称（日）	上智大学
機関名称（英）	Sophia University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	上智大学学術情報リポジトリ
機関リポジトリ名称（英）	Sophia University Repository for Academic Resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/326.gif
機関リポジトリへのリンク（日）	http://repository.cc.sophia.ac.jp/dspace/?locale=ja
機関リポジトリへのリンク（英）	http://repository.cc.sophia.ac.jp/dspace/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/326.gif
郵便番号	102-8554
住所	東京都千代田区紀尾井町7-1
使用ソフトウェア	DSpace
試験公開日	2009/10/01
本公開日	2010/04/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	0	6155	0	0	0	0	4	0	0	0	0	0	0	6159
2011/10	0	0	5972	0	0	0	0	4	0	0	0	0	0	0	5976
2011/09	0	0	5972	0	0	0	0	4	0	0	0	0	0	0	5976
2011/08	0	0	5972	0	0	0	0	4	0	0	0	0	0	0	5976
2011/07	0	0	5945	0	0	0	0	4	0	0	0	0	0	0	5949
2011/06	0	0	5638	0	0	0	0	4	0	0	0	0	0	0	5642
2011/05	0	0	5478	0	0	0	0	4	0	0	0	0	0	0	5482
2011/04	0	0	5478	0	0	0	0	4	0	0	0	0	0	0	5482
2011/03	0	0	4749	0	0	0	0	4	0	0	0	0	0	0	4753
2011/02	0	0	4657	0	0	0	0	4	0	0	0	0	0	0	4661
2011/01	0	0	4374	0	0	0	0	4	0	0	0	0	0	0	4378
2010/12	0	0	4299	0	0	0	0	4	0	0	0	0	0	0	4303
2010/11	0	0	4201	0	0	0	0	4	0	0	0	0	0	0	4205
2010/10	0	0	4029	0	0	0	0	4	0	0	0	0	0	0	4033
2010/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
