機関コード	17701
機関名称（日）	鹿児島大学
機関名称（英）	Kagoshima University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	鹿児島大学リポジトリ
機関リポジトリ名称（英）	Kagoshima University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/16.gif
機関リポジトリへのリンク（日）	http://ir.kagoshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://ir.kagoshima-u.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/16.gif
郵便番号	890-0065
住所	鹿児島市郡元1丁目 21番35号
使用ソフトウェア	DSpace
試験公開日	2003/12/21
本公開日	2007/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	75	48	4687	14	0	0	2	7	0	0	2	0	0	20	4855
2009/11	72	48	4685	14	0	0	2	7	0	0	2	0	0	20	4850
2009/10	73	48	4685	14	0	0	2	6	0	0	2	0	0	20	4850
2009/09	73	48	4684	14	0	0	2	6	0	0	2	0	0	20	4849
2009/08	73	48	4684	14	0	0	2	6	0	0	2	0	0	20	4849
2009/07	72	48	4680	14	0	0	2	6	0	0	2	0	0	23	4847
2009/06	4	2	775	1	0	0	0	0	0	0	0	0	0	8	790
2009/05	4	2	767	1	0	0	0	0	0	0	0	0	0	8	782
2009/04	3	1	760	1	0	0	0	0	0	0	0	0	0	1	766
2009/03	0	2	751	0	0	0	0	0	0	0	0	0	0	1	754
2009/02	0	2	750	0	0	0	0	0	0	0	0	0	0	1	753
2009/01	0	0	658	0	0	0	0	0	0	0	0	0	0	0	658
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
