機関コード	23101
機関名称（日）	新潟県立看護大学
機関名称（英）	Niigata College of Nursing
設置種別	公立大学
機関規模	D

機関リポジトリ名称（日）	新潟県立看護大学リポジトリ
機関リポジトリ名称（英）	Niigata College of Nursing Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/344.gif
機関リポジトリへのリンク（日）	http://repository.niigata-cn.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://repository.niigata-cn.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/344.gif
郵便番号	943-0147
住所	新潟県上越市新南町240番地
使用ソフトウェア	DSpace
試験公開日	2010/04/01
本公開日	2010/12/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	3	4	232	0	6	4	0	6	27	0	0	0	0	349	631
2011/10	3	4	232	0	6	4	0	6	27	0	0	0	0	349	631
2011/09	3	4	232	0	6	4	0	6	27	0	0	0	0	348	630
2011/08	2	4	232	0	6	4	0	6	27	0	0	0	0	345	626
2011/07	1	4	232	0	6	4	0	6	27	0	0	0	0	341	621
2011/06	1	4	232	0	6	4	0	6	27	0	0	0	0	341	621
2011/05	1	4	232	0	6	4	0	6	27	0	0	0	0	339	619
2011/04	1	4	232	0	4	4	0	6	27	0	0	0	0	336	614
2011/03	1	1	232	0	4	4	0	6	27	0	0	0	0	321	596
2011/02	1	1	232	0	0	4	0	6	27	0	0	0	0	321	592
2011/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
