機関コード	34311
機関名称（日）	同志社女子大学
機関名称（英）	Doshisha Women’s College of Liberal Arts
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	同志社女子大学学術リポジトリ
機関リポジトリ名称（英）	DWCLA Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/350.gif
機関リポジトリへのリンク（日）	http://repository.dwc.doshisha.ac.jp/
機関リポジトリへのリンク（英）	http://repository.dwc.doshisha.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/350.gif
郵便番号	602-0893
住所	京都市上京区今出川通寺町西入玄武町602
使用ソフトウェア	XooNIps
試験公開日	
本公開日	2011/03/04
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	3	155	0	1	0	0	0	0	0	0	0	0	50	209
2011/10	0	3	155	0	1	0	0	0	0	0	0	0	0	50	209
2011/09	0	3	145	0	1	0	0	0	0	0	0	0	0	48	197
2011/08	0	3	145	0	1	0	0	0	0	0	0	0	0	48	197
2011/07	0	3	131	0	0	0	0	0	0	0	0	0	0	45	179
2011/06	0	3	131	0	0	0	0	0	0	0	0	0	0	45	179
2011/05	0	3	108	0	0	0	0	0	0	0	0	0	0	33	144
2011/04	0	3	87	0	0	0	0	0	0	0	0	0	0	27	117
2011/03	0	0	8	0	0	0	0	4	0	0	0	0	0	3	15
2011/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
