機関コード	32634
機関名称（日）	専修大学
機関名称（英）	Senshu University
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	専修大学学術機関リポジトリ
機関リポジトリ名称（英）	Senshu University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/355.gif
機関リポジトリへのリンク（日）	http://ir.acc.senshu-u.ac.jp/
機関リポジトリへのリンク（英）	
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/355.gif
郵便番号	214-8580
住所	神奈川県川崎市多摩区東三田2-1-1
使用ソフトウェア	WEKO
試験公開日	2011/01/25
本公開日	2011/04/14
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii.

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	67	680	0	0	0	0	0	0	0	5	0	0	782	1534
2011/10	0	64	602	0	0	0	0	0	0	0	5	0	0	659	1330
2011/09	0	63	552	0	0	0	0	0	0	0	5	0	0	608	1228
2011/08	0	63	536	0	0	0	0	0	0	0	5	0	0	566	1170
2011/07	0	63	511	0	0	0	0	0	0	0	5	0	0	548	1127
2011/06	0	63	464	0	0	0	0	0	0	0	5	0	0	509	1041
2011/05	0	63	431	0	0	0	0	0	0	0	5	0	0	463	962
2011/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
