機関コード	13101
機関名称（日）	新潟大学
機関名称（英）	Niigata University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	新潟大学学術リポジトリ
機関リポジトリ名称（英）	Niigata University Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/18.gif
機関リポジトリへのリンク（日）	http://repository.lib.niigata-u.ac.jp/
機関リポジトリへのリンク（英）	http://repository.lib.niigata-u.ac.jp/index_e.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/18.gif
郵便番号	950-2181
住所	新潟県新潟市西区五十嵐二の町8050
使用ソフトウェア	DSpace
試験公開日	2007/05/15
本公開日	2007/05/17
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	1158	790	4833	207	44	3	0	277	0	7	0	0	0	521	7840
2010/04	1158	790	4833	207	44	3	0	277	0	7	0	0	0	521	7840
2010/03	1158	790	4793	207	44	3	0	276	0	7	0	0	0	521	7799
2010/02	1142	790	4466	207	43	3	0	276	0	7	0	0	0	28	6962
2010/01	1142	790	4466	207	43	3	0	276	0	7	0	0	0	28	6962
2009/12	1140	790	4456	207	43	3	0	276	0	7	0	0	0	28	6950
2009/11	1140	790	4456	207	43	3	0	276	0	7	0	0	0	28	6950
2009/10	1122	790	4437	207	39	3	0	276	0	7	0	0	0	28	6909
2009/09	1125	790	4374	207	39	3	0	276	0	7	0	0	0	28	6849
2009/08	1104	790	4357	207	39	3	0	276	0	7	0	0	0	28	6811
2009/07	1062	790	4357	207	39	3	0	276	0	7	0	0	0	20	6761
2009/06	1048	790	4316	207	37	3	0	276	0	7	0	0	0	20	6704
2009/05	1043	790	4282	207	37	3	0	276	0	7	0	0	0	20	6665
2009/04	1022	770	4271	207	37	3	0	255	0	7	0	0	0	16	6588
2009/03	949	78	4224	207	37	3	0	182	0	7	0	0	0	16	5703
2009/02	949	78	4224	207	37	3	0	182	0	7	0	0	0	16	5703
2009/01	947	76	4202	207	36	3	0	182	0	7	0	0	0	14	5674
2008/12	945	76	4202	207	36	3	0	181	0	7	0	0	0	14	5671
2008/11	944	76	4165	207	33	2	0	181	0	7	0	0	0	14	5629
2008/10	899	76	4139	207	3	2	0	179	0	7	0	0	0	14	5526
2008/09	896	76	4133	207	2	2	0	179	0	7	0	0	0	14	5516
2008/08	896	75	4133	207	2	2	0	179	0	7	0	0	0	14	5515
2008/07	293	0	0	0	0	0	0	0	0	0	0	0	0	0	293
2008/06	282	0	0	0	0	0	0	0	0	0	0	0	0	0	282
2008/05	282	0	0	0	0	0	0	0	0	0	0	0	0	0	282
2008/04	279	0	0	0	0	0	0	0	0	0	0	0	0	0	279
2008/03	605	39	3551	0	1	1	0	154	0	7	0	0	0	3	4361
2008/02	593	39	3462	0	1	1	0	154	0	7	0	0	0	3	4260
2008/01	593	39	3462	0	1	1	0	154	0	7	0	0	0	4	4261
2007/12	593	39	3462	0	1	1	0	154	0	7	0	0	0	4	4261
2007/11	361	39	3462	0	1	1	0	154	0	7	0	0	0	4	4029
2007/10	359	39	3462	0	1	1	0	154	0	7	0	0	0	4	4027
2007/09	359	39	3462	0	1	1	0	154	0	7	0	0	0	4	4027
2007/08	269	39	3462	0	1	1	0	154	0	7	0	0	0	4	3937
2007/07	261	39	3462	0	1	1	0	154	0	7	0	0	0	4	3929
2007/06	258	39	3462	0	0	1	0	154	0	7	0	0	0	0	3921
2007/05	230	39	3452	0	0	1	0	143	0	7	0	0	0	0	3872
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
