機関コード	14301
機関名称（日）	京都大学
機関名称（英）	Kyoto University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	京都大学学術情報リポジトリ
機関リポジトリ名称（英）	Kyoto University Research Information Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/19.gif
機関リポジトリへのリンク（日）	http://repository.kulib.kyoto-u.ac.jp/
機関リポジトリへのリンク（英）	http://repository.kulib.kyoto-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/19.gif
郵便番号	606-8501
住所	京都市左京区吉田本町
使用ソフトウェア	DSpace
試験公開日	2006/06/07
本公開日	2006/10/02
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	1895	1845	34645	236	69	98	1	621	2796	1	5	8	2	7414	49636
2009/11	1800	1838	33170	235	62	97	1	619	2788	1	5	8	2	7167	47793
2009/10	1692	1507	32764	232	61	85	1	617	2786	1	5	8	2	7063	46824
2009/09	1613	1478	32530	232	60	82	1	615	2821	1	5	8	2	6502	45950
2009/08	1568	1477	32469	232	59	82	1	478	2820	1	5	8	2	6484	45686
2009/07	1438	1473	32392	204	59	66	1	317	2813	1	5	8	2	6473	45252
2009/06	1432	1465	28145	204	58	66	1	230	2813	1	5	8	2	6169	40599
2009/05	1431	929	28125	204	57	66	1	201	2813	1	5	8	2	6160	40003
2009/04	1425	399	24968	204	57	65	1	199	2775	0	5	8	2	5886	35994
2009/03	1416	312	23133	196	54	65	1	199	2770	0	4	8	2	5687	33847
2009/02	1415	310	22501	176	52	63	1	196	2764	0	4	8	2	5639	33131
2009/01	1414	300	21480	174	52	63	1	196	2764	0	4	8	2	5639	32097
2008/12	1414	300	21125	174	52	63	1	190	2768	0	4	8	2	5629	31730
2008/11	1412	223	20900	174	52	63	1	190	2752	0	4	8	2	5594	31375
2008/10	1411	212	20145	172	52	63	1	190	2635	0	4	8	2	5607	30502
2008/09	1408	183	19955	170	26	60	1	190	2627	0	4	8	2	5411	30045
2008/08	1408	182	19897	162	11	52	1	190	2578	0	4	4	0	5404	29893
2008/07	1352	176	19905	162	9	49	3	167	2075	0	3	4	0	5302	29207
2008/06	1353	102	14912	163	9	44	3	167	2060	0	2	4	0	5010	23829
2008/05	1296	47	13242	163	7	44	3	167	2060	0	2	4	0	4832	21867
2008/04	1294	47	10587	163	7	44	3	167	2057	0	2	4	0	4573	18948
2008/03	1285	44	8071	163	7	44	1	158	2050	0	2	4	0	4174	16003
2008/02	536	44	8069	163	7	43	1	148	2050	0	2	4	0	4166	15233
2008/01	529	36	8065	163	7	38	1	147	2050	0	2	4	0	4162	15204
2007/12	527	30	7973	147	7	38	1	147	2050	0	2	4	0	4157	15083
2007/11	513	30	7710	147	7	38	1	147	2050	0	2	4	0	4145	14794
2007/10	495	9	7707	146	7	37	1	145	2050	0	2	4	0	4140	14743
2007/09	465	10	8545	143	5	37	1	156	2132	0	0	0	0	4209	15703
2007/08	452	9	5606	143	5	36	1	155	1781	0	0	0	0	3955	12143
2007/07	470	5	4491	92	4	34	1	145	1669	0	0	0	0	3878	10789
2007/06	470	5	4442	19	4	32	1	144	1669	0	0	0	0	3862	10648
2007/05	70	5	1784	0	4	32	1	137	1677	0	0	0	0	3581	7291
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
