機関コード	17102
機関名称（日）	九州大学
機関名称（英）	Kyushu University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	九州大学学術情報リポジトリ
機関リポジトリ名称（英）	Kyushu University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/1.jpg
機関リポジトリへのリンク（日）	https://qir.kyushu-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	https://qir.kyushu-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/1.gif
郵便番号	812-8581
住所	福岡市東区箱崎6-10-1
使用ソフトウェア	Dspace
試験公開日	
本公開日	2006/04/14
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	1778	164	11929	791	190	142	445	246	376	173	40	0	0	644	16918
2011/10	1763	163	11909	787	189	142	443	243	375	173	40	0	0	642	16869
2011/09	1750	147	11843	787	184	142	441	243	372	172	40	0	0	616	16737
2011/08	1743	146	11836	787	182	141	441	242	370	172	40	0	0	614	16714
2011/07	1681	127	11812	786	173	140	440	242	367	170	40	0	0	609	16587
2011/06	1660	123	11755	783	171	140	439	242	346	170	40	0	0	598	16467
2011/05	1620	119	11714	782	169	140	439	240	345	169	39	0	0	594	16370
2011/04	1603	119	11652	781	169	131	440	235	338	167	38	0	0	589	16262
2011/03	1418	119	11544	776	165	128	433	235	316	163	38	0	0	546	15881
2011/02	1415	119	11404	776	165	127	433	235	315	162	38	0	0	536	15725
2011/01	1382	117	11373	774	165	125	431	235	310	157	38	0	0	534	15641
2010/12	1370	116	11323	760	159	120	431	210	309	157	37	0	0	532	15524
2010/11	1298	116	11308	753	150	119	430	164	280	155	35	0	0	529	15337
2010/10	1237	113	11234	748	149	116	430	136	277	166	34	0	0	528	15168
2010/09	1226	106	11172	744	148	116	429	134	264	163	34	0	0	525	15061
2010/08	1222	106	10964	740	148	115	429	132	180	160	33	0	0	525	14754
2010/07	1212	104	10921	738	145	112	428	121	175	159	32	0	0	518	14665
2010/06	1200	104	10905	737	140	103	418	115	175	157	32	0	0	480	14566
2010/05	1191	96	10574	736	139	99	416	113	175	157	32	0	0	475	14203
2010/04	1169	96	10536	736	139	95	398	113	166	151	32	0	0	471	14102
2010/03	1146	94	10431	729	137	95	395	104	164	147	31	0	0	463	13936
2010/02	1133	93	10118	721	132	94	394	102	153	142	31	0	0	427	13540
2010/01	1127	93	9913	720	131	94	394	102	152	134	30	0	0	409	13299
2009/12	1118	93	9854	715	129	93	393	102	143	134	29	0	0	408	13211
2009/11	1117	93	9464	697	127	93	386	99	130	134	29	0	0	406	12775
2009/10	1109	93	9441	692	125	93	385	99	129	132	28	0	0	403	12729
2009/09	1093	92	9431	685	125	92	385	93	128	127	27	0	0	402	12680
2009/08	1089	92	9416	685	119	91	384	87	125	127	27	0	0	400	12642
2009/07	1083	91	9047	678	117	89	384	84	108	120	27	0	0	395	12223
2009/06	1063	91	8933	676	113	89	384	83	107	117	24	0	0	358	12038
2009/05	1047	91	8809	652	102	86	382	83	105	114	23	0	0	342	11836
2009/04	1031	79	8489	650	101	79	381	40	98	113	22	0	0	308	11391
2009/03	991	75	8008	625	101	79	300	39	92	87	22	0	0	283	10702
2009/02	800	73	7943	622	101	75	283	39	92	83	20	0	0	3	10134
2009/01	790	73	7913	598	101	75	279	37	92	77	18	0	0	3	10056
2008/12	506	73	7822	593	101	74	279	32	92	73	17	0	0	3	9665
2008/11	427	73	7704	588	101	71	277	32	91	57	17	0	0	3	9441
2008/10	419	73	7688	584	101	70	277	32	78	57	15	0	0	3	9397
2008/09	408	73	7677	579	101	61	276	28	75	57	15	0	0	2	9352
2008/08	401	73	7167	568	101	61	272	28	74	57	14	0	0	2	8818
2008/07	360	73	6364	561	101	59	271	28	74	27	13	0	0	2	7933
2008/06	349	73	6123	560	101	59	271	27	74	23	13	0	0	1	7674
2008/05	343	42	5701	524	100	59	270	24	49	22	10	0	0	1	7145
2008/04	336	42	5612	521	100	59	267	24	49	22	10	0	0	1	7043
2008/03	326	42	5093	520	106	50	260	29	49	20	3	0	0	2	6500
2008/02	322	42	4823	518	105	49	255	28	48	17	3	0	0	1	6211
2008/01	223	42	4666	508	19	47	249	27	48	12	3	0	0	1	5845
2007/12	216	42	4379	505	18	47	248	27	47	10	3	0	0	0	5542
2007/11	209	42	4214	488	17	45	243	27	42	7	3	0	0	0	5337
2007/10	204	42	4117	470	14	44	240	20	42	7	3	0	0	0	5203
2007/09	186	81	3747	467	14	43	230	20	43	7	4	0	0	6	4848
2007/08	176	81	3367	447	14	42	222	20	41	7	4	0	0	7	4428
2007/07	170	81	3354	397	14	37	186	22	26	6	3	0	0	8	4304
2007/06	128	41	3365	316	6	27	160	13	11	6	3	0	0	5	4081
2007/05	39	42	3287	48	1	17	95	5	6	5	1	0	0	3	3549
2007/04	24	42	2723	39	0	13	92	5	3	3	1	0	0	2	2947
