機関コード	15401
機関名称（日）	広島大学
機関名称（英）	Hiroshima University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	広島大学学術情報リポジトリ
機関リポジトリ名称（英）	Hiroshima University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/20.gif
機関リポジトリへのリンク（日）	http://ir.lib.hiroshima-u.ac.jp/portal/
機関リポジトリへのリンク（英）	http://ir.lib.hiroshima-u.ac.jp/portal/index_e.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/20.gif
郵便番号	739-8512
住所	広島県東広島市鏡山 1-2-2
使用ソフトウェア	E-Repository
試験公開日	2006/04/12
本公開日	2006/10/06
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	3383	402	11331	321	173	114	2	316	109	9	19	4	0	6939	23122
2011/10	3381	401	11316	321	173	114	2	313	109	9	19	4	0	6939	23101
2011/09	3379	401	11288	321	173	114	3	313	109	9	19	4	0	6939	23072
2011/08	3377	394	11286	321	173	112	3	313	109	9	19	4	0	6939	23059
2011/07	3352	387	11248	321	173	112	3	312	108	9	19	4	0	6939	22987
2011/06	3308	382	11211	321	170	111	3	312	108	9	19	4	0	6912	22870
2011/05	3309	381	11211	321	170	111	3	312	108	9	19	4	0	6912	22870
2011/04	3257	381	11105	320	170	109	1	312	108	9	19	2	0	6895	22688
2011/03	3250	362	10856	320	168	107	1	310	108	9	19	2	0	6895	22407
2011/02	3242	362	10832	320	168	106	1	310	108	9	19	2	0	6895	22374
2011/01	3150	346	10783	320	168	105	1	309	108	9	19	2	0	6894	22214
2010/12	3141	327	10677	320	168	105	1	309	108	9	19	2	0	6891	22077
2010/11	3084	325	10619	319	168	105	1	309	107	9	19	2	0	6886	21953
2010/10	3054	323	10539	319	168	104	1	308	107	9	19	2	0	6883	21836
2010/09	3038	323	10441	319	167	104	1	308	107	9	19	2	0	6883	21721
2010/08	2969	323	10399	319	167	104	1	308	104	9	19	2	0	6883	21607
2010/07	2920	323	10308	319	167	83	1	308	103	9	19	2	0	6879	21441
2010/06	2896	323	10165	318	167	83	1	308	100	9	19	2	0	6878	21269
2010/05	2826	321	10114	318	162	83	1	308	98	9	19	2	0	6867	21128
2010/04	2779	292	10001	315	162	83	1	308	98	9	19	2	0	6867	20936
2010/03	2736	292	9813	314	162	81	1	307	98	9	19	1	0	6867	20700
2010/02	2638	291	9524	312	159	77	1	307	98	9	19	1	0	6858	20294
2010/01	2602	290	9301	310	157	77	1	307	99	9	19	1	0	6857	20030
2009/12	2590	290	9020	244	157	76	1	307	99	8	19	1	0	6850	19662
2009/11	2456	290	8736	243	152	76	1	307	95	8	17	1	0	6844	19226
2009/10	2415	287	8642	243	152	76	1	307	63	8	17	1	0	6843	19055
2009/09	2378	287	8549	243	152	75	1	307	60	8	17	1	0	6839	18917
2009/08	2336	279	8380	242	151	75	1	307	60	8	17	1	0	6839	18696
2009/07	2285	278	8287	240	149	75	1	307	57	8	17	0	0	6839	18543
2009/06	2268	278	8169	240	145	75	1	307	57	8	17	0	0	6839	18404
2009/05	2040	249	8087	238	142	74	1	288	57	8	17	0	0	6838	18039
2009/04	2024	249	8028	235	142	74	1	287	57	8	17	0	0	6838	17960
2009/03	1990	248	7928	235	142	73	1	287	35	8	19	0	0	6831	17797
2009/02	1863	248	7847	232	140	72	1	286	27	8	17	0	0	6754	17495
2009/01	1816	245	7688	232	135	72	1	258	25	8	17	0	0	6754	17251
2008/12	1779	245	7601	195	129	72	1	258	24	8	17	0	0	6753	17082
2008/11	1721	245	7442	188	122	71	1	256	19	8	17	0	0	6753	16843
2008/10	1718	245	7397	183	116	71	1	256	18	8	17	0	0	6752	16782
2008/09	1652	245	7299	183	116	71	1	254	8	8	17	0	0	6752	16606
2008/08	1581	245	7279	179	116	71	1	253	7	8	17	0	0	6752	16509
2008/07	1573	245	7153	168	111	69	1	253	7	8	17	0	0	6752	16357
2008/06	1570	245	6986	167	111	69	1	253	7	8	17	0	0	6751	16185
2008/05	1565	243	5943	161	104	68	1	253	7	8	16	0	0	6751	15120
2008/04	1540	242	5736	149	96	67	1	253	7	8	15	0	0	6751	14865
2008/03	1538	240	5549	148	95	66	1	202	7	8	15	0	0	6751	14620
2008/02	1453	210	5307	124	93	45	1	193	0	8	15	0	0	5637	13086
2008/01	1420	209	4911	121	90	45	1	188	0	8	15	0	0	5637	12645
2007/12	1409	109	4896	118	90	32	1	171	0	8	15	0	0	5637	12486
2007/11	1298	109	4890	112	79	31	1	168	0	8	15	0	0	5637	12348
2007/10	1266	108	4856	103	68	28	1	122	0	8	15	0	0	5636	12211
2007/09	1117	207	4775	93	67	25	1	119	0	8	15	0	0	5620	12047
2007/08	1172	107	4772	91	45	25	1	119	0	8	14	0	0	5625	11979
2007/07	1171	107	4747	83	37	25	1	119	0	8	14	0	0	5625	11937
2007/06	881	107	3987	84	37	28	1	121	0	8	15	0	0	5634	10903
2007/05	0	107	2764	81	33	28	1	120	0	8	15	0	0	5634	8791
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
