機関コード	15501
機関名称（日）	山口大学
機関名称（英）	Yamaguchi University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	山口大学学術機関リポジトリYUNOCA
機関リポジトリ名称（英）	Yamaguchi University Navigator for Open access Collection and Archives
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/22.gif
機関リポジトリへのリンク（日）	http://petit.lib.yamaguchi-u.ac.jp/
機関リポジトリへのリンク（英）	http://petit.lib.yamaguchi-u.ac.jp/eng/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/22.gif
郵便番号	753-8511
住所	山口県山口市吉田1677－1
使用ソフトウェア	InfoLibDBR
試験公開日	2006/01/10
本公開日	2007/10/16
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	773	0	3206	59	4	2	0	261	0	0	3	0	0	46	4354
2009/11	764	0	3204	58	4	2	0	261	0	0	3	0	0	46	4342
2009/10	764	0	3204	58	4	2	0	261	0	0	3	0	0	46	4342
2009/09	763	0	3204	58	4	2	0	261	0	0	3	0	0	46	4341
2009/08	763	0	3204	58	4	2	0	261	0	0	3	0	0	45	4340
2009/07	763	0	3201	58	4	2	0	261	0	0	3	0	0	45	4337
2009/06	650	0	3201	58	4	2	0	261	0	0	0	0	0	44	4220
2009/05	646	0	3201	58	4	2	0	261	0	0	0	0	0	44	4216
2009/04	632	0	3160	58	4	2	0	261	0	0	0	0	0	44	4161
2009/03	621	0	3160	55	4	2	0	261	0	0	0	0	0	44	4147
2009/02	621	0	3156	55	4	2	0	261	0	0	0	0	0	43	4142
2009/01	620	0	3156	55	4	2	0	261	0	0	0	0	0	43	4141
2008/12	601	0	3156	55	4	2	0	261	0	0	0	0	0	43	4122
2008/11	591	0	3156	55	4	2	0	261	0	0	0	0	0	43	4112
2008/10	564	0	3156	55	4	2	0	261	0	0	0	0	0	43	4085
2008/09	521	0	3153	53	4	2	0	261	0	0	0	0	0	43	4037
2008/08	521	0	3153	53	4	2	0	261	0	0	0	0	0	43	4037
2008/07	515	0	3153	43	4	2	0	261	0	0	0	0	0	43	4021
2008/06	505	0	3153	43	4	2	0	261	0	0	0	0	0	43	4011
2008/05	496	0	3134	43	0	2	0	261	0	0	0	0	0	43	3979
2008/04	483	0	3135	42	0	1	0	250	0	0	0	0	0	43	3954
2008/03	453	0	2707	36	0	0	0	250	0	0	0	0	0	43	3489
2008/02	209	0	2464	36	0	0	0	250	0	0	0	0	0	43	3002
2008/01	148	0	2459	35	0	0	0	248	0	0	0	0	0	42	2932
2007/12	139	0	2459	35	0	0	0	248	0	0	0	0	0	42	2923
2007/11	132	0	2450	35	0	0	0	248	0	0	0	0	0	42	2907
2007/10	117	0	2446	35	0	0	0	248	0	0	0	0	0	41	2887
2007/09	85	0	2439	35	0	0	0	248	0	0	0	0	0	41	2848
2007/08	83	0	2437	34	0	0	0	248	0	0	0	0	0	41	2843
2007/07	72	0	2437	34	0	0	0	248	0	0	0	0	0	41	2832
2007/06	57	0	2438	34	0	0	0	248	0	0	0	0	0	41	2818
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
