機関コード	13302
機関名称（日）	北陸先端科学技術大学院大学
機関名称（英）	Japan Advanced Institute of Science and Technology
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	JAIST学術研究成果リポジトリ
機関リポジトリ名称（英）	JAIST Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/23.gif
機関リポジトリへのリンク（日）	https://dspace.jaist.ac.jp/dspace/index.jsp?locale=ja
機関リポジトリへのリンク（英）	https://dspace.jaist.ac.jp/dspace/index.jsp?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/23.gif
郵便番号	923-1292
住所	石川県能美市旭台1丁目1番地
使用ソフトウェア	DSpace
試験公開日	2007/05/30
本公開日	2007/05/30
備考（日）	「JAIST学術研究成果リポジトリ」は，北陸先端科学技術大学院大学において作成された研究成果物を電子的な形態で収集・蓄積・保存し，無料で公開しています。<BR>CiNii連携対象
備考（英）	JAIST Repository is a digital collection providing access to the publication outputs of JAIST.<BR>This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	1281	1852	0	3281	392	24	110	141	1	0	0	0	0	154	7236
2011/10	1274	1852	0	3251	354	24	110	141	0	0	0	0	0	134	7140
2011/09	1266	1851	0	3251	354	24	110	141	0	0	0	0	0	134	7131
2011/08	1241	1832	0	3250	351	24	110	141	0	0	0	0	0	134	7083
2011/07	1241	1832	0	3250	351	24	110	141	0	0	0	0	0	133	7082
2011/06	1207	1831	0	3232	350	24	109	115	0	0	0	0	0	133	7001
2011/05	1206	1831	0	3232	350	24	109	115	0	0	0	0	0	132	6999
2011/04	1206	1831	0	3232	350	24	109	115	0	0	0	0	0	132	6999
2011/03	1202	1764	0	3227	350	22	109	115	0	0	0	0	0	130	6919
2011/02	1199	1764	0	3227	350	22	109	115	0	0	0	0	0	130	6916
2011/01	1195	1763	0	3226	350	21	109	115	0	0	0	0	0	129	6908
2010/12	1143	1763	0	3187	350	18	109	115	0	0	0	0	0	126	6811
2010/11	1141	1762	0	2932	349	18	109	115	0	0	0	0	0	125	6551
2010/10	1138	1760	0	2932	349	18	109	115	0	0	0	0	0	124	6545
2010/09	1085	1760	0	2932	349	18	109	115	0	0	0	0	0	124	6492
2010/08	1081	1744	0	2905	349	18	109	115	0	0	0	0	0	124	6445
2010/07	1077	1743	0	2901	349	18	109	115	0	0	0	0	0	124	6436
2010/06	1037	1743	0	2901	349	18	109	102	0	0	0	0	0	123	6382
2010/05	1037	1743	0	2891	347	17	108	102	0	0	0	0	0	122	6367
2010/04	1037	1743	0	2891	347	17	108	102	0	0	0	0	0	122	6367
2010/03	1034	1681	0	2891	347	17	108	102	0	0	0	0	0	122	6302
2010/02	1034	1681	0	2891	347	17	106	101	0	0	0	0	0	121	6298
2010/01	997	1682	0	2891	346	16	106	101	0	0	0	0	0	118	6257
2009/12	997	1681	0	2891	346	16	106	101	0	0	0	0	0	118	6256
2009/11	928	1681	0	2648	346	16	106	101	0	0	0	0	0	116	5942
2009/10	926	1681	0	2648	346	16	106	85	0	0	0	0	0	116	5924
2009/09	926	1680	0	2648	346	16	25	85	0	0	0	0	0	113	5839
2009/08	926	1671	0	2623	260	16	25	84	0	0	0	0	0	102	5707
2009/07	926	1670	0	2623	260	16	25	84	0	0	0	0	0	102	5706
2009/06	923	1670	0	2623	258	16	25	84	0	0	0	0	0	101	5700
2009/05	916	1668	0	2623	258	16	24	84	0	0	0	0	0	100	5689
2009/04	909	1667	0	2623	258	16	24	84	0	0	0	0	0	100	5681
2009/03	909	1590	0	2601	258	16	23	84	0	0	0	0	0	100	5581
2009/02	894	1590	0	2603	258	16	23	86	0	0	0	0	0	100	5570
2009/01	806	1590	0	2603	258	14	23	86	0	0	0	0	0	99	5479
2008/12	806	1588	0	2603	258	14	23	86	0	0	0	0	0	99	5477
2008/11	727	1588	0	317	6	13	23	1	0	0	0	0	0	52	2727
2008/10	588	1588	0	305	6	7	22	1	0	0	0	0	0	50	2567
2008/09	570	1587	0	282	6	6	22	0	0	0	0	0	0	30	2503
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
