機関コード	12102
機関名称（日）	筑波大学
機関名称（英）	University of Tsukuba
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	つくばリポジトリ
機関リポジトリ名称（英）	Tulips-R
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/25.png
機関リポジトリへのリンク（日）	http://www.tulips.tsukuba.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://www.tulips.tsukuba.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/25.jpg
郵便番号	305-8577
住所	茨城県つくば市天王台1-1-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2007/03/23
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	2707	1655	13103	177	57	63	412	791	63	51	10	0	0	353	19442
2011/10	2678	1664	13078	177	47	62	412	789	38	51	10	0	0	351	19357
2011/09	2635	1673	13003	172	46	59	411	787	38	50	10	0	0	351	19235
2011/08	2600	1672	12947	171	46	59	411	786	33	49	10	0	0	330	19114
2011/07	2580	1670	12839	171	46	57	406	786	31	50	10	0	0	322	18968
2011/06	2513	1664	12812	165	46	56	406	785	30	50	10	0	0	309	18846
2011/05	2480	1674	12691	166	45	55	406	785	28	49	8	0	0	296	18683
2011/04	2458	1714	12641	158	45	55	69	1113	29	49	7	0	0	295	18633
2011/03	2137	1693	12831	156	45	53	41	1108	33	49	7	0	0	296	18449
2011/02	2085	1694	12819	156	45	53	41	1108	33	49	7	0	0	294	18384
2011/01	1971	1703	12777	156	45	52	41	1106	33	49	7	0	0	294	18234
2010/12	1940	1703	12768	158	43	52	41	929	33	49	7	0	0	294	18017
2010/11	1914	1109	12715	152	19	51	41	936	33	49	7	0	0	291	17317
2010/10	1874	1109	12670	150	17	50	27	935	33	51	7	0	0	290	17213
2010/09	1840	1106	12736	147	17	36	27	935	33	51	7	0	0	290	17225
2010/08	1823	1106	12687	143	17	35	27	935	33	50	7	0	0	287	17150
2010/07	1800	1105	12681	143	16	34	27	935	33	50	7	0	0	286	17117
2010/06	1726	1089	12644	139	13	34	27	930	8	49	7	0	0	24	16690
2010/05	1687	1086	12588	132	13	34	27	922	8	49	7	0	0	16	16569
2010/04	1631	1079	12533	129	12	34	27	913	8	49	7	0	0	15	16437
2010/03	1598	1079	12340	129	11	34	27	861	8	48	7	1	0	15	16158
2010/02	1593	6927	12340	129	10	34	0	676	8	48	7	1	0	13	21786
2010/01	1319	6916	12187	117	9	32	0	658	7	47	7	1	0	0	21300
2009/12	1319	6916	12187	117	9	32	0	658	7	47	7	1	0	0	21300
2009/11	1319	6916	12187	117	9	32	0	658	7	47	7	1	0	0	21300
2009/10	1319	6916	12187	117	9	32	0	658	7	47	7	1	0	0	21300
2009/09	1302	6915	12164	116	9	32	0	658	7	47	7	1	0	0	21258
2009/08	1281	6909	12067	115	6	31	0	658	7	47	7	1	0	0	21129
2009/07	1245	6907	11962	113	6	30	0	657	7	46	7	0	0	0	20980
2009/06	1230	6906	11764	113	5	28	0	653	3	44	7	0	0	0	20753
2009/05	1163	6905	11602	109	5	28	0	637	2	44	7	0	0	0	20502
2009/04	1111	6900	11475	50	5	27	0	631	2	44	7	0	0	0	20252
2009/03	1084	6886	11475	48	5	26	0	631	2	43	7	0	0	0	20207
2009/02	1044	6886	11415	48	4	26	0	630	2	42	7	0	0	0	20104
2009/01	948	6885	11372	48	4	26	0	627	2	42	7	0	0	0	19961
2008/12	930	6885	11361	48	4	26	0	627	2	42	7	0	0	0	19932
2008/11	899	6483	11333	48	4	25	0	626	2	42	7	0	0	0	19469
2008/10	836	6483	11278	48	4	25	0	623	2	37	7	0	0	0	19343
2008/09	783	6482	11278	47	3	23	0	619	1	37	7	0	0	0	19280
2008/08	747	6481	11039	47	3	23	0	619	1	37	7	0	0	0	19004
2008/07	669	6478	10998	47	3	23	0	552	1	37	7	0	0	0	18815
2008/06	639	6477	10941	47	3	23	0	552	1	37	7	0	0	0	18727
2008/05	601	6469	10681	40	3	23	0	550	1	37	7	0	0	0	18412
2008/04	582	6233	10631	40	3	23	0	550	1	37	7	0	0	0	18107
2008/03	548	6063	10551	39	2	23	0	550	1	37	7	0	0	0	17821
2008/02	528	6064	10465	32	2	23	0	550	1	37	7	0	0	0	17709
2008/01	389	6063	10440	24	2	23	0	550	1	37	7	0	0	0	17536
2007/12	362	6063	10390	23	2	0	0	550	1	37	4	0	0	0	17432
2007/11	0	0	131	0	0	0	0	536	0	0	0	0	0	0	667
2007/10	0	0	131	0	0	0	0	536	0	0	0	0	0	0	667
2007/09	0	0	131	0	0	0	0	536	0	0	0	0	0	0	667
2007/08	0	0	131	0	0	0	0	536	0	0	0	0	0	0	667
2007/07	0	0	131	0	0	0	0	536	0	0	0	0	0	0	667
2007/06	0	0	131	0	0	0	0	536	0	0	0	0	0	0	667
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
