機関コード	13601
機関名称（日）	信州大学
機関名称（英）	Shinshu University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	信州大学機関リポジトリ
機関リポジトリ名称（英）	Shinshu University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/28.jpg
機関リポジトリへのリンク（日）	https://soar-ir.shinshu-u.ac.jp/
機関リポジトリへのリンク（英）	https://soar-ir.shinshu-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/28.jpg
郵便番号	390-8621
住所	長野県松本市旭3-1-1
使用ソフトウェア	DSpace
試験公開日	2007/03/15
本公開日	2007/08/01
備考（日）	学術雑誌論文や紀要を収録。研究者総覧等とも連携。<BR>CiNii連携対象
備考（英）	Research repository coodinated with.researcher directory.<BR>This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	1365	0	1493	50	12	0	0	1	86	0	0	5	0	30	3042
2009/11	1269	0	1493	44	12	0	0	1	86	0	0	5	0	30	2940
2009/10	1123	0	1493	22	12	0	0	1	80	0	0	5	0	30	2766
2009/09	1088	2	1479	8	12	0	0	1	79	0	0	5	0	30	2704
2009/08	1085	3	1440	8	12	0	0	1	72	0	0	5	0	30	2656
2009/07	1078	3	1419	8	12	0	0	1	71	0	0	5	0	30	2627
2009/06	1055	3	1419	8	8	0	0	1	71	0	0	5	0	30	2600
2009/05	1010	3	1359	8	8	0	0	1	71	0	0	5	0	30	2495
2009/04	985	3	1307	8	8	0	0	1	53	0	0	5	0	30	2400
2009/03	1041	3	1198	8	8	0	0	1	43	0	0	3	0	28	2333
2009/02	988	2	420	8	7	0	0	1	0	0	0	3	0	4	1433
2009/01	986	2	172	8	7	0	0	1	0	0	0	3	0	4	1183
2008/12	953	2	172	8	7	0	0	1	0	0	0	3	0	4	1150
2008/11	898	2	172	8	7	0	0	1	0	0	0	3	0	4	1095
2008/10	890	2	163	8	7	0	0	1	0	0	0	3	0	4	1078
2008/09	870	2	23	8	7	0	0	1	0	0	0	3	0	4	918
2008/08	848	2	12	8	7	0	0	1	0	0	0	3	0	4	885
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
