機関コード	13901
機関名称（日）	名古屋大学
機関名称（英）	Nagoya University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	名古屋大学学術機関リポジトリ
機関リポジトリ名称（英）	NAGOYA Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/2.gif
機関リポジトリへのリンク（日）	http://ir.nul.nagoya-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/2.gif
郵便番号	464-8601
住所	名古屋市千種区不老町　B3-2(790)
使用ソフトウェア	DSpace
試験公開日	2006/01/11
本公開日	2006/02/28
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	2232	0	6294	0	0	0	0	0	0	0	0	0	0	0	8526
2010/04	2231	0	5975	0	0	0	0	0	0	0	0	0	0	0	8206
2010/03	2228	0	5950	0	0	0	0	0	0	0	0	0	0	0	8178
2010/02	2184	865	5803	0	0	0	0	0	0	0	0	0	0	0	8852
2010/01	2105	865	5800	0	0	0	0	0	0	0	0	0	0	0	8770
2009/12	2097	809	5837	0	0	0	0	0	0	0	0	0	0	0	8743
2009/11	2096	658	5797	0	0	0	0	0	0	0	0	0	0	0	8551
2009/10	2091	654	5762	0	0	0	0	0	0	0	0	0	0	0	8507
2009/09	2090	644	5728	0	0	0	0	0	0	0	0	0	0	0	8462
2009/08	2065	597	5697	0	0	0	0	0	0	0	0	0	0	0	8359
2009/07	1931	595	5642	0	0	0	0	0	0	0	0	0	0	0	8168
2009/06	1931	595	5642	0	0	0	0	0	0	0	0	0	0	0	8168
2009/05	1931	595	5641	0	0	0	0	0	0	0	0	0	0	0	8167
2009/04	1786	592	5586	0	0	0	0	0	0	0	0	0	0	0	7964
2009/03	1773	454	5504	0	0	0	0	0	0	0	0	0	0	0	7731
2009/02	1674	412	5435	0	0	0	0	0	0	0	0	0	0	0	7521
2009/01	1694	405	5218	0	0	0	0	0	0	0	0	0	0	0	7317
2008/12	1681	394	5118	0	0	0	0	0	0	0	0	0	0	0	7193
2008/11	1667	393	5036	0	0	0	0	0	0	0	0	0	0	0	7096
2008/10	1667	392	5034	0	0	0	0	0	0	0	0	0	0	0	7093
2008/09	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
