機関コード	14401
機関名称（日）	大阪大学
機関名称（英）	Osaka University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	大阪大学学術情報庫　桜華
機関リポジトリ名称（英）	OUKA (Osaka University Knowledge Archive)
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/30.gif
機関リポジトリへのリンク（日）	http://ir.library.osaka-u.ac.jp/portal/
機関リポジトリへのリンク（英）	http://ir.library.osaka-u.ac.jp/portal/index_e.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/30.jpg
郵便番号	560-0043
住所	大阪府豊中市待兼山町1-4
使用ソフトウェア	E-repository
試験公開日	
本公開日	2007/02/20
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii.

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	6455	2236	8498	52	81	12	58	40	10	0	17	79	0	1673	19211
2011/10	6406	2234	8402	52	76	12	58	40	10	0	17	79	0	1654	19040
2011/09	6361	2233	8366	52	75	12	56	40	10	0	17	79	0	1648	18949
2011/08	6341	2213	8246	52	75	12	54	40	10	0	16	79	0	1647	18785
2011/07	6341	2150	8109	52	75	12	54	40	10	0	16	79	0	1635	18573
2011/06	6228	2140	8095	52	75	12	54	40	10	0	16	79	0	1613	18414
2011/05	6204	2119	8052	52	73	12	54	38	10	0	16	79	0	1609	18318
2011/04	6164	2067	8027	52	73	8	53	36	10	0	14	79	0	1602	18185
2011/03	6108	2026	7963	52	73	7	48	35	10	0	1	79	0	1596	17998
2011/02	6101	2026	7592	52	73	7	46	35	9	0	1	79	0	1594	17615
2011/01	6100	2020	7592	52	72	7	46	35	2	0	1	79	0	1594	17600
2010/12	6095	2008	7569	51	72	7	43	35	2	0	1	79	0	1590	17552
2010/11	6093	2004	7387	51	68	7	41	35	2	0	1	79	0	1588	17356
2010/10	6081	1962	7382	51	68	7	39	35	2	0	1	79	0	1586	17293
2010/09	6076	1472	7204	51	68	7	39	35	2	0	1	79	0	1582	16616
2010/08	6067	1455	7224	51	68	7	39	34	2	0	1	79	0	1582	16609
2010/07	6061	1455	7150	50	68	7	38	34	2	0	1	79	0	1575	16520
2010/06	6005	1456	6698	50	68	6	38	34	2	0	1	79	0	1599	16036
2010/05	6005	1454	6627	50	68	6	655	34	2	0	1	79	0	1584	16565
2010/04	5962	1453	6274	50	68	6	644	34	2	0	1	79	0	1502	16075
2010/03	5940	1451	5905	50	68	6	636	34	2	0	1	79	0	1489	15661
2010/02	5940	1448	5857	50	68	5	624	34	1	0	46	0	0	1481	15554
2010/01	5928	1213	5851	50	68	5	609	34	1	0	46	0	0	1479	15284
2009/12	5917	1165	5806	49	67	5	603	34	1	0	46	0	0	1465	15158
2009/11	5915	1164	5796	49	67	3	588	34	1	0	46	0	0	1462	15125
2009/10	5891	1139	5576	0	67	3	5	581	1	0	46	0	0	1383	14692
2009/09	5891	1136	5499	0	67	2	4	575	1	0	46	0	0	1343	14564
2009/08	5891	1136	5142	0	67	2	4	563	1	0	46	0	0	1287	14139
2009/07	5891	1129	4491	0	67	2	4	555	1	0	46	0	0	1175	13361
2009/06	5884	1102	4257	0	66	2	4	547	1	0	46	0	0	1170	13079
2009/05	5884	1099	4231	0	66	2	4	540	1	0	46	0	0	1164	13037
2009/04	5884	1099	3903	0	66	2	4	531	1	0	46	0	0	1165	12701
2009/03	5884	1095	3188	0	66	1	0	848	0	0	46	0	0	1110	12238
2009/02	5752	893	3082	0	66	0	0	838	0	0	46	0	0	1038	11715
2009/01	5752	859	2618	0	58	0	0	562	0	0	46	0	0	769	10664
2008/12	5733	859	2618	0	58	0	0	555	0	0	46	0	0	769	10638
2008/11	5730	858	2599	0	58	0	0	542	0	0	46	0	0	759	10592
2008/10	5714	823	2599	0	58	0	0	496	0	0	46	0	0	735	10471
2008/09	5692	695	1824	0	58	0	0	495	0	0	46	0	0	641	9451
2008/08	5685	694	551	0	58	0	0	475	0	0	46	0	0	438	7947
2008/07	5685	694	385	0	58	0	0	454	0	0	14	0	0	438	7728
2008/06	5685	686	385	0	58	0	0	454	0	0	14	0	0	438	7720
2008/05	5685	670	385	0	58	0	0	454	0	0	14	0	0	437	7703
2008/04	5685	670	385	0	58	0	0	454	0	0	14	0	0	437	7703
2008/03	5685	670	385	0	58	0	0	454	0	0	14	0	0	437	7703
2008/02	5685	670	385	0	58	0	0	448	0	0	14	0	0	437	7697
2008/01	5685	670	97	0	0	0	0	327	0	0	14	0	0	437	7230
2007/12	5685	355	97	0	0	0	0	320	0	0	14	0	0	437	6908
2007/11	5685	355	97	0	0	0	0	320	0	0	14	0	0	437	6908
2007/10	1733	15	0	0	0	0	0	320	0	0	14	0	0	436	2518
2007/09	1733	15	0	0	0	0	0	320	0	0	14	0	0	436	2518
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
