機関コード	11201
機関名称（日）	岩手大学
機関名称（英）	Iwate University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	岩手大学リポジトリ
機関リポジトリ名称（英）	Iwate University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/31.gif
機関リポジトリへのリンク（日）	http://ir.iwate-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://ir.iwate-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/31.gif
郵便番号	020-8550
住所	岩手県盛岡市上田3-18-8
使用ソフトウェア	Dspace
試験公開日	2007/04/01
本公開日	2007/08/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	496	77	2742	0	1	3	1	36	0	3	6	0	0	84	3449
2010/04	496	77	2742	0	1	3	1	36	0	3	5	0	0	84	3448
2010/03	485	54	2572	0	1	2	1	36	0	3	5	0	0	84	3243
2010/02	427	33	2572	0	1	2	1	34	0	3	5	0	0	84	3162
2010/01	393	33	2562	0	1	2	1	12	0	3	5	0	0	84	3096
2009/12	344	33	2562	0	1	2	1	11	0	3	5	0	0	84	3046
2009/11	280	33	2562	0	1	2	1	11	0	3	5	0	0	84	2982
2009/10	194	33	2562	0	1	1	1	11	0	3	5	0	0	84	2895
2009/09	142	33	2562	0	1	1	1	11	0	3	5	0	0	84	2843
2009/08	118	33	2536	0	1	0	1	10	0	3	5	0	0	82	2789
2009/07	118	33	2530	0	1	0	1	10	0	3	5	0	0	82	2783
2009/06	118	33	2514	0	1	0	1	10	0	3	5	0	0	82	2767
2009/05	118	33	2505	0	1	0	1	10	0	3	4	0	0	82	2757
2009/04	118	33	2495	0	1	0	1	10	0	3	4	0	0	82	2747
2009/03	87	33	2380	0	1	0	1	10	0	3	4	0	0	80	2599
2009/02	58	0	1646	0	1	0	1	7	0	3	4	0	0	80	1800
2009/01	27	0	1646	0	1	0	1	7	0	3	4	0	0	79	1768
2008/12	8	0	1646	0	1	0	1	7	0	3	4	0	0	79	1749
2008/11	2	0	1646	0	1	0	1	6	0	3	4	0	0	79	1742
2008/10	1	0	1646	0	1	0	1	6	0	3	4	0	0	79	1741
2008/09	1	0	1636	0	0	0	1	6	0	3	4	0	0	79	1730
2008/08	1	0	1629	0	0	0	1	6	0	3	4	0	0	78	1722
2008/07	1	0	1620	0	0	0	1	5	0	3	4	0	0	78	1712
2008/06	1	0	1620	0	0	0	1	5	0	3	4	0	0	78	1712
2008/05	1	0	1607	0	0	0	1	5	0	3	4	0	0	77	1698
2008/04	1	0	1592	0	0	0	1	5	0	3	4	0	0	77	1683
2008/03	1	0	1584	0	0	0	1	5	0	3	4	0	0	77	1675
2008/02	1	0	1027	0	0	0	1	5	0	3	3	0	0	77	1117
2008/01	1	0	46	0	0	0	1	5	0	3	3	0	0	77	136
2007/12	0	0	31	0	0	0	1	5	0	2	3	0	0	77	119
2007/11	0	0	26	0	0	0	1	5	0	1	2	0	0	77	112
2007/10	0	0	20	0	0	0	1	3	0	0	2	0	0	65	91
2007/09	0	0	20	0	0	0	1	2	0	0	2	0	0	38	63
2007/08	0	0	20	0	0	0	1	2	0	0	2	0	0	3	28
2007/07	0	0	20	0	0	0	1	0	0	0	0	0	0	2	23
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
