機関コード	13301
機関名称（日）	金沢大学 
機関名称（英）	Kanazawa University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	金沢大学学術情報リポジトリKURA
機関リポジトリ名称（英）	Kanazawa University Repository for Academic Resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/33.jpg
機関リポジトリへのリンク（日）	http://dspace.lib.kanazawa-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://dspace.lib.kanazawa-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/33.gif
郵便番号	920-1192
住所	石川県金沢市角間町
使用ソフトウェア	DSpace
試験公開日	2006/04/01
本公開日	2006/06/12
備考（日）	金沢大学の教育・研究活動から生み出された学術的な成果の全文を，デジタル形式で公開・保存するデータベース<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	2901	2044	8666	443	67	56	0	689	977	0	10	0	0	1376	17229
2009/12	2897	2044	8573	442	67	56	0	689	935	0	10	0	0	1374	17087
2009/11	2852	2043	8483	437	65	56	0	689	935	0	10	0	0	1187	16757
2009/10	2836	2241	8444	429	65	56	0	689	935	0	10	0	0	964	16669
2009/09	2762	2241	8409	420	65	56	0	689	934	0	10	0	0	866	16452
2009/08	2700	2241	8364	418	65	55	0	689	934	0	10	0	0	698	16174
2009/07	2612	2241	8329	402	60	54	0	685	934	0	10	0	0	371	15698
2009/06	2553	2241	8192	337	57	54	0	622	934	0	10	0	0	280	15280
2009/05	2524	2240	7994	336	51	54	0	584	922	0	4	0	0	227	14936
2009/04	2486	2239	7850	333	51	54	0	584	922	0	4	0	0	226	14749
2009/03	2461	2239	7710	336	49	54	0	584	922	0	4	0	0	220	14579
2009/02	2266	2238	7630	332	43	42	0	577	922	0	4	0	0	219	14273
2009/01	2141	115	7623	317	42	42	0	577	916	0	4	0	0	218	11995
2008/12	2069	115	6136	300	29	42	0	577	916	0	4	0	0	212	10400
2008/11	1894	115	6106	270	26	42	0	577	913	0	4	0	0	207	10154
2008/10	1780	114	6100	180	26	42	0	577	905	0	4	0	0	203	9931
2008/09	1694	114	6067	125	26	41	0	557	899	0	4	0	0	198	9725
2008/08	1534	114	6048	122	26	41	0	557	899	0	4	0	0	185	9530
2008/07	1495	114	5993	117	26	41	0	557	894	0	4	0	0	170	9411
2008/06	1462	113	5756	117	25	30	0	557	685	0	4	0	0	168	8917
2008/05	1416	113	5695	111	22	30	0	557	685	0	4	0	0	167	8800
2008/04	1356	113	5653	110	22	30	0	555	684	0	4	0	0	163	8690
2008/03	1255	110	5542	103	22	30	0	555	683	0	4	0	0	161	8465
2008/02	1236	110	4653	101	22	30	0	554	682	0	4	0	0	154	7546
2008/01	1214	110	3752	101	19	29	0	554	673	0	4	0	0	154	6610
2007/12	1159	110	3721	101	18	29	0	554	666	0	4	0	0	154	6516
2007/11	1095	110	3663	101	17	23	0	554	658	0	4	0	0	150	6375
2007/10	999	110	3546	99	9	23	0	554	658	0	4	0	0	164	6166
2007/09	941	109	3484	99	8	22	0	554	658	0	4	0	0	161	6040
2007/08	727	6	2047	19	8	25	0	324	1444	0	4	0	0	845	5449
2007/07	1	0	242	0	0	0	0	0	0	0	0	0	0	17	260
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
