機関コード	11501
機関名称（日）	山形大学
機関名称（英）	Yamagata Univesity
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	ゆうキャンパスリポジトリ
機関リポジトリ名称（英）	YOU Campus Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/34.gif
機関リポジトリへのリンク（日）	http://repo.lib.yamagata-u.ac.jp/
機関リポジトリへのリンク（英）	http://repo.lib.yamagata-u.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/34.jpg
郵便番号	990-8560
住所	山形市小白川町1-4-12
使用ソフトウェア	NALIS-R
試験公開日	2007/03/26
本公開日	2007/07/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	496	61	1069	0	3	185	26	34	0	1	0	0	0	214	2089
2010/04	453	61	1051	0	3	185	26	17	0	1	0	0	0	214	2011
2010/03	370	61	1051	0	3	185	26	17	0	1	0	0	0	214	1928
2010/02	289	61	1048	0	3	185	20	16	0	1	0	0	0	214	1837
2010/01	278	61	1048	0	2	177	0	15	0	1	0	0	0	213	1795
2009/12	228	61	1048	0	1	177	0	15	0	1	0	0	0	213	1744
2009/11	226	61	1047	0	1	176	0	15	0	1	0	0	0	213	1740
2009/10	223	61	1047	0	1	167	0	15	0	1	0	0	0	206	1721
2009/09	197	61	1047	0	1	167	0	15	0	1	0	0	0	183	1672
2009/08	197	61	1047	0	1	167	0	15	0	1	0	0	0	183	1672
2009/07	197	61	1047	0	1	167	0	15	0	1	0	0	0	183	1672
2009/06	197	61	1033	0	1	167	0	15	0	1	0	0	0	157	1632
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
