機関コード	17601
機関名称（日）	宮崎大学
機関名称（英）	University of Miyazaki
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	宮崎大学学術情報リポジトリ
機関リポジトリ名称（英）	University of Miyazaki Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/36.gif
機関リポジトリへのリンク（日）	http://ir.lib.miyazaki-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://ir.lib.miyazaki-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/36.gif
郵便番号	889-2196
住所	宮崎市学園木花台西１－１
使用ソフトウェア	DSpace
試験公開日	2007/05/18
本公開日	2007/08/23
備考（日）	CiNii連携対象 
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	343	58	925	22	1	6	0	210	3	0	1	0	0	8	1577
2009/11	341	57	921	22	1	6	0	210	2	0	1	0	0	8	1569
2009/10	341	57	832	20	1	6	0	210	2	0	1	0	0	8	1478
2009/09	324	57	832	20	1	6	0	206	2	0	1	0	0	8	1457
2009/08	304	57	832	14	1	6	0	166	1	0	1	0	0	8	1390
2009/07	290	57	832	14	1	6	0	166	0	0	1	0	0	8	1375
2009/06	281	57	831	14	1	6	0	166	0	0	1	0	0	8	1365
2009/05	280	57	831	14	1	6	0	166	0	0	1	0	0	8	1364
2009/04	280	57	831	14	1	4	0	165	0	0	1	0	0	8	1361
2009/03	276	54	806	12	1	4	0	154	0	0	0	0	0	2	1309
2009/02	259	51	792	11	1	4	0	116	0	0	0	0	0	0	1234
2009/01	242	50	789	3	1	4	0	77	0	0	0	0	0	0	1166
2008/12	237	50	783	0	1	4	0	49	0	0	0	0	0	0	1124
2008/11	224	48	756	0	0	4	0	28	0	0	0	0	0	0	1060
2008/10	221	48	705	0	0	4	0	27	0	0	0	0	0	1	1006
2008/09	219	48	705	0	0	4	0	27	0	0	0	0	0	1	1004
2008/08	219	48	705	0	0	4	0	27	0	0	0	0	0	1	1004
2008/07	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2008/06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2008/05	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2008/04	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2008/03	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2008/02	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2008/01	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2007/12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
