機関コード	13701
機関名称（日）	岐阜大学
機関名称（英）	National University Corporation Gifu University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	岐阜大学機関リポジトリ
機関リポジトリ名称（英）	Gifu University Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/37.gif
機関リポジトリへのリンク（日）	http://repository.lib.gifu-u.ac.jp/
機関リポジトリへのリンク（英）	http://repository.lib.gifu-u.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/37.gif
郵便番号	501-1193
住所	岐阜県 岐阜市柳戸1-1　
使用ソフトウェア	NALIS-R(DSpace)
試験公開日	2007/02/15
本公開日	2008/03/31
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	270	2143	1205	124	0	2	0	737	0	0	0	0	0	181	4662
2010/04	89	2143	1205	99	0	2	0	737	0	0	0	0	0	181	4456
2010/03	77	2143	1202	29	0	2	0	737	0	0	0	0	0	0	4190
2010/02	50	2143	1147	0	0	2	0	737	0	0	0	0	0	0	4079
2010/01	50	2143	1147	0	0	2	0	737	0	0	0	0	0	0	4079
2009/12	47	2143	1147	0	0	2	0	737	0	0	0	0	0	0	4076
2009/11	0	2143	1147	0	0	2	0	737	0	0	0	0	0	0	4029
2009/10	0	2143	1147	0	0	2	0	737	0	0	0	0	0	0	4029
2009/09	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/08	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/07	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/06	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/05	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/04	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/03	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/02	0	2144	1147	0	0	2	0	737	0	0	0	0	0	0	4030
2009/01	0	2130	1147	0	0	2	0	737	0	0	0	0	0	0	4016
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
