機関コード	13401
機関名称（日）	福井大学
機関名称（英）	University of Fukui
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	福井大学学術機関リポジトリ
機関リポジトリ名称（英）	University of Fukui Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/38.gif
機関リポジトリへのリンク（日）	http://repo.flib.u-fukui.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://repo.flib.u-fukui.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/38.gif
郵便番号	910-8507
住所	福井市文京3-9-1
使用ソフトウェア	DSpace
試験公開日	2007/07/02
本公開日	2007/09/28
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	967	63	1367	180	8	0	9	659	7	0	0	0	0	3	3263
2011/10	958	63	1318	180	8	0	9	659	7	0	0	0	0	3	3205
2011/09	951	63	1237	180	8	0	9	659	7	0	0	0	0	3	3117
2011/08	946	63	1219	180	8	0	9	366	6	0	0	0	0	3	2800
2011/07	931	63	1142	149	0	0	9	325	6	0	0	0	0	3	2628
2011/06	931	52	1047	149	0	0	7	234	6	0	0	0	0	3	2429
2011/05	920	52	926	150	0	0	8	249	5	0	0	0	0	3	2313
2011/04	876	52	855	144	0	0	8	233	1	0	0	0	0	3	2172
2011/03	861	52	758	141	0	0	8	235	1	0	0	0	0	3	2059
2011/02	850	52	758	139	0	0	8	235	1	0	0	0	0	3	2046
2011/01	829	52	741	139	0	0	8	229	1	0	0	0	0	3	2002
2010/12	796	52	735	137	0	0	8	226	1	0	0	0	0	3	1958
2010/11	795	52	733	82	0	0	8	188	1	0	0	0	0	3	1862
2010/10	790	51	731	4	0	0	0	83	1	0	0	0	0	3	1663
2010/09	783	47	688	3	0	0	0	38	1	0	0	0	0	3	1563
2010/08	764	47	688	0	0	0	0	37	1	0	0	0	0	3	1540
2010/07	764	46	687	0	0	0	0	37	1	0	0	0	0	3	1538
2010/06	764	46	687	0	0	0	0	37	1	0	0	0	0	3	1538
2010/05	764	45	687	0	0	0	0	37	1	0	0	0	0	3	1537
2010/04	764	36	687	0	0	0	0	37	1	0	0	0	0	3	1528
2010/03	764	36	687	0	0	0	0	37	1	0	0	0	0	3	1528
2010/02	759	36	687	0	0	0	0	37	1	0	0	0	0	3	1523
2010/01	726	36	668	0	0	0	0	37	1	0	0	0	0	3	1471
2009/12	693	36	655	0	0	0	0	37	1	0	0	0	0	3	1425
2009/11	623	36	646	0	0	0	0	37	1	0	0	0	0	3	1346
2009/10	551	36	646	0	0	0	0	37	1	0	0	0	0	3	1274
2009/09	533	33	637	0	0	0	0	37	1	0	0	0	0	3	1244
2009/08	528	28	637	0	0	0	0	37	1	0	0	0	0	3	1234
2009/07	519	28	637	0	0	0	0	37	1	0	0	0	0	3	1225
2009/06	503	28	637	0	0	0	0	37	1	0	0	0	0	3	1209
2009/05	483	23	620	0	0	0	0	34	1	0	0	0	0	3	1164
2009/04	464	21	620	0	0	0	0	0	1	0	0	0	0	0	1106
2009/03	453	20	599	0	0	0	0	0	1	0	0	0	0	0	1073
2009/02	431	20	599	0	0	0	0	0	0	0	0	0	0	0	1050
2009/01	430	20	572	0	0	0	0	0	0	0	0	0	0	0	1022
2008/12	404	19	552	0	0	0	0	0	0	0	0	0	0	0	975
2008/11	370	19	539	0	0	0	0	0	0	0	0	0	0	0	928
2008/10	346	19	539	0	0	0	0	0	0	0	0	0	0	0	904
2008/09	330	16	539	0	0	0	0	0	0	0	0	0	0	0	885
2008/08	327	16	531	0	0	0	0	0	0	0	0	0	0	0	874
2008/07	327	16	531	0	0	0	0	0	0	0	0	0	0	0	874
2008/06	327	16	531	0	0	0	0	0	0	0	0	0	0	0	874
2008/05	327	15	529	0	0	0	0	0	0	0	0	0	0	0	871
2008/04	327	15	529	0	0	0	0	0	0	0	0	0	0	0	871
2008/03	323	13	524	0	0	0	0	0	0	0	0	0	0	3	863
2008/02	305	10	497	0	0	0	0	0	0	0	0	0	0	3	815
2008/01	150	10	497	0	0	0	0	0	0	0	0	0	0	3	660
2007/12	129	10	421	0	0	0	0	0	0	0	0	0	0	16	576
2007/11	113	10	264	0	0	0	0	0	0	0	0	0	0	16	403
2007/10	75	10	264	0	0	0	0	0	0	0	0	0	0	15	364
2007/09	65	9	263	0	0	0	0	0	0	0	0	0	0	15	352
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
