機関コード	12401
機関名称（日）	埼玉大学
機関名称（英）	Saitama University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	学術情報発信システムSUCRA
機関リポジトリ名称（英）	Saitama United Cyber Repository of Academic Resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/39.gif
機関リポジトリへのリンク（日）	http://sucra.saitama-u.ac.jp/
機関リポジトリへのリンク（英）	http://sucra.saitama-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/39.jpg
郵便番号	338-8570
住所	埼玉県さいたま市桜区下大久保255
使用ソフトウェア	XooNIps
試験公開日	2007/03/20
本公開日	2008/03/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	2087	223	883	93	150	9	1	875	14	6	0	40	0	106	4487
2009/11	2087	223	882	93	146	7	1	778	14	6	0	40	0	95	4372
2009/10	1655	222	829	93	144	7	1	768	10	6	0	40	0	87	3862
2009/09	1129	218	802	93	138	7	1	767	10	6	0	40	0	84	3295
2009/08	1091	160	753	93	137	7	1	766	10	6	0	40	0	83	3147
2009/07	1072	122	699	93	136	7	1	764	10	6	0	40	0	78	3028
2009/06	1044	112	639	91	122	6	0	755	10	6	0	40	0	66	2891
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
