機関コード	10101
機関名称（日）	北海道大学
機関名称（英）	Hokkaido University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	北海道大学学術成果コレクション
機関リポジトリ名称（英）	Hokkaido University Collection of Scholarly and Academic Papers
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/3.gif
機関リポジトリへのリンク（日）	http://eprints.lib.hokudai.ac.jp/
機関リポジトリへのリンク（英）	http://eprints.lib.hokudai.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/3.gif
郵便番号	060-0808
住所	北海道札幌市北区北8条西5丁目
使用ソフトウェア	Dspace
試験公開日	2005/07/20
本公開日	2006/04/01
備考（日）	北海道大学学術成果コレクション運営方針を参照のこと。http://eprints.lib.hokudai.ac.jp/staff/policy_ja.jsp<BR>CiNii連携対象
備考（英）	See “Hokkaido University Collection of Scholarly and Academic Papers Administration Policy”.http://eprints.lib.hokudai.ac.jp/dspace/staff/policy_en.jsp<BR>This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	5754	424	28149	544	414	75	0	17	141	0	37	0	0	599	36154
2011/10	5643	423	28120	536	396	74	0	17	136	0	37	0	0	594	35976
2011/09	5556	421	28078	529	392	73	0	17	133	0	35	0	0	585	35819
2011/08	5460	421	28070	528	389	70	0	17	133	0	35	0	0	584	35707
2011/07	5336	420	28036	519	386	69	0	17	132	0	34	0	0	582	35531
2011/06	5094	421	28379	513	384	69	0	17	126	0	34	0	0	669	35706
2011/05	4990	418	27871	510	380	68	0	14	126	0	34	0	0	476	34887
2011/04	4871	417	27803	509	377	68	0	8	126	0	34	0	0	471	34684
2011/03	4677	407	27653	505	377	59	0	8	125	0	31	0	0	455	34297
2011/02	4660	407	27651	505	376	59	0	8	125	0	31	0	0	453	34275
2011/01	4581	405	27634	504	375	38	0	6	125	0	30	0	0	450	34148
2010/12	4499	404	27596	500	373	25	0	5	121	0	30	0	0	449	34002
2010/11	4397	401	27496	497	344	22	0	5	114	0	29	0	0	444	33749
2010/10	4302	400	27475	490	282	21	0	5	114	0	29	0	0	440	33558
2010/09	4163	392	27459	489	280	20	0	5	113	0	29	0	0	436	33386
2010/08	4087	390	27448	489	277	20	0	5	112	0	29	0	0	425	33282
2010/07	4054	390	27145	487	276	20	0	5	112	0	29	0	0	295	32813
2010/06	4017	387	27089	473	274	20	0	5	112	0	29	0	0	289	32695
2010/05	3954	386	27089	471	272	20	0	5	111	0	29	0	0	289	32626
2010/04	3916	383	27085	471	272	20	0	5	110	0	28	0	0	286	32576
2010/03	3876	379	26993	466	270	20	0	5	110	0	28	0	0	277	32424
2010/02	3784	369	26933	461	266	20	0	5	107	0	28	0	0	266	32239
2010/01	3741	367	26923	461	263	20	0	5	101	0	28	0	0	265	32174
2009/12	3662	366	24853	460	261	20	0	5	100	0	27	0	0	248	30002
2009/11	3543	365	24759	443	197	18	0	5	100	0	26	0	0	239	29695
2009/10	3496	363	24729	273	179	17	0	5	99	0	26	0	0	238	29425
2009/09	3401	363	24581	267	175	17	0	5	98	0	26	0	0	233	29166
2009/08	3353	362	24416	251	166	17	0	5	72	0	26	0	0	230	28898
2009/07	3282	358	24324	231	160	16	0	5	70	0	25	0	0	226	28697
2009/06	3200	358	24286	231	159	16	0	5	69	0	25	0	0	223	28572
2009/05	3073	358	24244	213	157	16	0	5	65	0	25	0	0	214	28370
2009/04	2980	356	24204	169	156	15	0	5	64	0	25	0	0	210	28184
2009/03	2933	352	24121	143	156	14	0	5	62	0	25	0	0	199	28010
2009/02	2872	344	22290	139	140	14	0	5	58	0	24	0	0	88	25974
2009/01	2796	343	22256	139	131	14	0	5	54	0	24	0	0	87	25849
2008/12	2720	343	22006	133	128	13	0	5	53	0	24	0	0	87	25512
2008/11	2690	343	21905	129	125	13	0	5	47	0	24	0	0	87	25368
2008/10	2647	342	21867	107	124	13	0	4	45	0	24	0	0	87	25260
2008/09	2600	0	21846	85	118	12	0	0	41	0	24	0	0	428	25154
2008/08	2579	0	21810	85	118	12	0	0	41	0	24	0	0	427	25096
2008/07	2563	0	21722	85	60	12	0	0	41	0	24	0	0	413	24920
2008/06	2540	0	21367	85	28	11	0	0	41	0	24	0	0	404	24500
2008/05	2439	0	20744	85	25	11	0	0	40	0	24	0	0	401	23769
2008/04	2287	0	20686	85	25	11	0	0	36	0	23	0	0	351	23504
2008/03	2268	0	20589	65	25	11	0	0	36	0	23	0	0	146	23163
2008/02	2256	0	20620	63	25	11	0	0	36	0	23	0	0	145	23179
2008/01	2227	0	18968	63	25	11	0	0	36	0	22	0	0	145	21497
2007/12	2221	0	18942	63	25	11	0	0	36	0	22	0	0	145	21465
2007/11	2163	0	18908	59	25	13	0	0	35	0	22	0	0	140	21365
2007/10	2071	0	18492	43	21	12	0	0	33	0	22	0	0	226	20920
2007/09	2005	0	16422	38	21	12	0	0	31	0	24	0	0	125	18678
2007/08	1940	0	16327	38	21	12	0	0	31	0	21	0	0	119	18509
2007/07	1900	0	15842	37	21	12	0	0	32	0	20	0	0	96	17960
2007/06	1819	0	12932	37	21	12	0	0	31	0	20	0	0	93	14965
2007/05	1758	0	12236	37	21	9	0	0	30	0	20	0	0	92	14203
2007/04	1727	0	11265	36	20	8	0	0	27	0	20	0	0	89	13192
