機関コード	36401
機関名称（日）	高知工科大学
機関名称（英）	Kochi University of Technology
設置種別	公立大学
機関規模	C

機関リポジトリ名称（日）	高知工科大学学術情報リポジトリ
機関リポジトリ名称（英）	Kochi University of Technology Academic Resource Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/41.gif
機関リポジトリへのリンク（日）	http://kutarr.lib.kochi-tech.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://kutarr.lib.kochi-tech.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/41.gif
郵便番号	782-8502
住所	高知県香美市土佐山田町宮ノ口185
使用ソフトウェア	DSpace
試験公開日	2007/09/05
本公開日	2007/10/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	39	104	141	8	0	0	3	0	0	0	1	0	0	29	325
2009/11	39	104	141	8	0	0	3	0	0	0	1	0	0	29	325
2009/10	39	104	141	8	0	0	3	0	0	0	1	0	0	29	325
2009/09	39	104	140	8	0	0	3	0	0	0	1	0	0	29	324
2009/08	39	104	115	8	0	0	3	0	0	0	1	0	0	24	294
2009/07	32	104	115	8	0	0	3	0	0	0	1	0	0	24	287
2009/06	32	104	115	8	0	0	3	0	0	0	1	0	0	24	287
2009/05	32	104	115	8	0	0	3	0	0	0	1	0	0	24	287
2009/04	32	104	115	8	0	0	3	0	0	0	1	0	0	24	287
2009/03	32	103	115	8	0	0	3	0	0	0	1	0	0	24	286
2009/02	32	93	89	8	0	0	3	0	0	0	1	0	0	20	246
2009/01	32	88	89	8	0	0	3	0	0	0	1	0	0	20	241
2008/12	31	88	89	8	0	0	3	0	0	0	1	0	0	20	240
2008/11	31	88	89	8	0	0	3	0	0	0	1	0	0	20	240
2008/10	31	80	89	8	0	0	3	0	0	0	1	0	0	20	232
2008/09	31	80	89	8	0	0	3	0	0	0	1	0	0	19	231
2008/08	31	80	89	8	0	0	3	0	0	0	1	0	0	19	231
2008/07	30	80	89	6	0	0	3	0	0	0	1	0	0	19	228
2008/06	30	80	89	6	0	0	3	0	0	0	1	0	0	19	228
2008/05	30	79	89	6	0	0	3	0	0	0	1	0	0	19	227
2008/04	30	79	89	6	0	0	3	0	0	0	1	0	0	19	227
2008/03	30	79	89	4	0	0	3	0	0	0	1	0	0	16	222
2008/02	23	79	89	4	0	0	3	0	0	0	1	0	0	16	215
2008/01	18	76	89	3	0	0	3	0	0	0	1	0	0	15	205
2007/12	10	75	89	2	0	0	3	0	0	0	1	0	0	14	194
2007/11	5	75	89	0	0	0	0	0	0	0	1	0	0	12	182
2007/10	4	74	89	0	0	0	0	0	0	0	1	0	0	12	180
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
