機関コード	32675
機関名称（日）	法政大学
機関名称（英）	Hosei University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	法政大学学術機関リポジトリ
機関リポジトリ名称（英）	Hosei University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/43.gif
機関リポジトリへのリンク（日）	http://rose.lib.hosei.ac.jp/dspace/index.jsp
機関リポジトリへのリンク（英）	http://rose.lib.hosei.ac.jp/dspace/index.jsp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/43.gif
郵便番号	102-8160
住所	東京都千代田区富士見２－１７－１
使用ソフトウェア	DSpace
試験公開日	
本公開日	2007/04/16
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	134	211	1945	97	2	0	10	133	443	0	0	0	0	327	3302
2009/11	94	207	1857	2	2	0	1	86	443	0	0	0	0	327	3019
2009/10	37	207	1672	0	2	0	1	66	443	0	0	0	0	327	2755
2009/09	31	189	1546	0	2	0	1	66	443	0	0	0	0	326	2604
2009/08	31	189	1488	0	2	0	1	66	443	0	0	0	0	326	2546
2009/07	17	158	1464	0	2	0	1	27	447	0	0	0	0	325	2441
2009/06	23	152	1361	0	2	2	10	16	447	0	0	0	0	324	2337
2009/05	29	119	1272	0	2	2	10	16	463	0	0	0	0	323	2236
2009/04	29	79	1269	0	2	2	10	16	464	0	0	0	0	323	2194
2009/03	29	50	1085	0	2	2	10	16	464	0	0	0	0	322	1980
2009/02	29	50	1085	0	2	2	10	16	464	0	0	0	0	322	1980
2009/01	29	50	1085	0	2	2	10	16	464	0	0	0	0	322	1980
2008/12	18	48	1047	0	2	2	10	16	464	0	0	0	0	322	1929
2008/11	28	41	789	0	1	2	7	16	464	0	0	0	0	322	1670
2008/10	28	24	579	0	1	2	5	12	465	0	0	0	0	314	1430
2008/09	28	21	609	0	0	2	5	12	626	0	0	0	0	314	1617
2008/08	28	10	581	0	0	2	5	12	626	0	0	0	0	314	1578
2008/07	28	1	558	0	0	2	5	12	625	0	0	0	0	314	1545
2008/06	28	0	482	0	0	2	5	13	624	0	0	0	0	313	1467
2008/05	28	0	482	0	0	2	5	13	624	0	0	0	0	313	1467
2008/04	28	0	387	0	0	2	1	13	620	0	0	0	0	313	1364
2008/03	26	0	298	0	0	2	0	13	619	0	0	0	0	313	1271
2008/02	26	0	236	0	0	2	0	13	619	0	0	0	0	313	1209
2008/01	17	0	64	0	0	2	0	13	618	0	0	0	0	313	1027
2007/12	17	0	0	0	0	2	0	13	561	0	0	0	0	313	906
2007/11	17	0	0	0	0	2	0	12	415	0	0	0	0	313	759
2007/10	17	0	0	0	0	0	0	0	397	0	0	0	0	313	727
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
