機関コード	14603
機関名称（日）	奈良先端科学技術大学院大学
機関名称（英）	Nara Institute of Science and Technology
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	奈良先端科学技術大学院大学学術リポジトリ
機関リポジトリ名称（英）	naistar : NAIST Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/44.jpg
機関リポジトリへのリンク（日）	http://library.naist.jp/dspace/
機関リポジトリへのリンク（英）	http://library.naist.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/44.jpg
郵便番号	630-0192
住所	奈良県生駒市高山町8916-5
使用ソフトウェア	DSpace
試験公開日	2007/03/26
本公開日	2009/02/17
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	39	3106	0	0	250	18	164	1227	0	0	40	0	0	89	4933
2011/10	39	3098	0	0	250	18	163	1227	0	0	38	0	0	88	4921
2011/09	34	3098	0	0	250	18	163	962	0	0	38	0	0	88	4651
2011/08	34	3088	0	0	250	18	163	962	0	0	38	0	0	88	4641
2011/07	34	3088	0	0	250	18	163	962	0	0	38	0	0	88	4641
2011/06	34	2927	0	0	250	18	163	962	0	0	38	0	0	88	4480
2011/05	34	2926	0	0	250	18	163	962	0	0	38	0	0	88	4479
2011/04	34	2926	0	0	250	17	162	962	0	0	35	0	0	57	4443
2011/03	25	2902	0	0	250	17	162	962	0	0	34	0	0	57	4409
2011/02	25	2902	0	0	250	17	162	962	0	0	34	0	0	57	4409
2011/01	25	2899	0	0	250	17	161	962	0	0	34	0	0	57	4405
2010/12	25	2896	0	0	250	17	161	962	0	0	34	0	0	57	4402
2010/11	25	2896	0	0	250	17	160	962	0	0	33	0	0	57	4400
2010/10	25	2887	0	0	250	17	160	962	0	0	33	0	0	57	4391
2010/09	25	2887	0	0	250	17	160	680	0	0	33	0	0	57	4109
2010/08	25	2884	0	0	250	17	160	680	0	0	33	0	0	57	4106
2010/07	25	2884	0	0	250	17	159	680	0	0	33	0	0	57	4105
2010/06	25	2879	0	0	250	17	159	680	0	0	33	0	0	57	4100
2010/05	25	2699	0	0	250	17	159	680	0	0	33	0	0	57	3920
2010/04	25	2677	0	0	250	17	159	680	0	0	33	0	0	57	3898
2010/03	17	2677	0	0	250	17	157	680	0	0	33	0	0	57	3888
2010/02	17	2677	0	0	250	17	157	680	0	0	33	0	0	57	3888
2010/01	17	2677	0	0	250	17	156	680	0	0	33	0	0	57	3887
2009/12	17	2671	0	0	250	17	156	680	0	0	33	0	0	57	3881
2009/11	17	2671	0	0	250	17	155	680	0	0	33	0	0	57	3880
2009/10	17	2662	0	0	250	16	154	677	0	0	28	0	0	45	3849
2009/09	17	2662	0	0	250	16	153	677	0	0	28	0	0	45	3848
2009/08	17	2662	0	0	250	16	153	677	0	0	28	0	0	45	3848
2009/07	17	2662	0	0	250	16	152	677	0	0	28	0	0	45	3847
2009/06	17	2656	0	0	250	16	152	677	0	0	28	0	0	45	3841
2009/05	17	2461	0	0	250	15	152	673	0	0	27	0	0	38	3633
2009/04	17	2461	0	0	250	15	152	673	0	0	27	0	0	38	3633
2009/03	17	2461	0	0	250	15	152	673	0	0	27	0	0	38	3633
2009/02	17	2461	0	0	250	15	151	673	0	0	27	0	0	38	3632
2009/01	1	2453	0	0	250	15	149	671	0	0	27	0	0	38	3604
2008/12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2008/11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
